compound,n_contexts,n_profiles,n_pairs,share,se_empirical,se_predicted,fold
ataluren,8,45,147,0.034342086171085744,0.00684588719809705,0.06857175317221187,1
atenolol,2,11,25,0.1584402275300096,0.007993064560227577,0.1662776646416806,0
atenolol-(+/-),8,45,147,0.027167377956823127,0.00470309545901526,0.06857175317221187,1
atomoxetine,9,101,689,0.02917252402915554,0.003638778541513362,0.03167337258892958,0
atorvastatin,56,281,1493,0.05112230571593587,0.003134340069809943,0.02151661835302702,1
atovaquone,8,65,316,0.028576387523403742,0.0036973223237577015,0.04676924717064745,0
atractyloside,2,12,30,0.11344832927745066,0.010699949589282038,0.15179004622254605,1
atracurium,7,46,170,0.07338737816613061,0.013190039160768547,0.06376457360373668,0
atropine,2,12,30,0.12365189145584295,0.011448132862578586,0.15179004622254605,1
auranofin,44,227,3902,0.07168567121083785,0.002254368615373642,0.013309455485564173,0
auraptene,13,66,162,0.05542325897571179,0.006217539860415595,0.06532003568221943,1
aurora-a-inhibitor-i,19,245,2731,0.031879778712582234,0.001395606190441006,0.015909006911288794,0
austricine,13,105,623,0.03319637217619848,0.004020038599545703,0.033308869823760814,1
avermectin,2,11,25,0.18569669394028412,0.013810196811141928,0.1662776646416806,0
avicin-d,10,688,20306,0.03218124444702157,0.0015137874725502098,0.0058343399373067045,1
avicin-g,10,538,12470,0.03193168680035696,0.0015833767047895295,0.007445102715749309,0
avrainvillamide-analog-1,8,142,840,0.028568803154334646,0.004431809522271567,0.028685622414275427,1
avrainvillamide-analog-2,8,125,654,0.05818921361077433,0.005846566431972009,0.03250985604414654,0
avrainvillamide-analog-3,8,142,840,0.03908262273201174,0.0032227245066024403,0.028685622414275427,1
avrainvillamide-analog-4,8,144,864,0.05009094979694605,0.006064711352425726,0.02828440513845401,0
avrainvillamide-analog-5,8,126,664,0.05798158273394309,0.0068530554878382605,0.03226412420621543,1
avrainvillamide-analog-6,8,142,841,0.03574273484993229,0.006706995111531235,0.028668562869255277,0
axitinib,13,61,165,0.0768494108425379,0.016011466132458633,0.06472349318059607,1
azacitidine,8,80,823,0.12500345605944588,0.0034495802395350583,0.028980375141431983,0
azacyclonol,13,79,300,0.06411509538940693,0.006902309390691301,0.04800022722054831,1
azaperone,13,91,449,0.027729539379116284,0.005504237642145118,0.03923564081226912,0
azapropazone,2,11,25,0.13986091809629,0.009982059897787799,0.1662776646416806,1
azasetron,13,106,582,0.0273134078232707,0.004969465110908173,0.03446215474849789,0
azathioprine,8,139,1508,0.02828656112484243,0.002271665689829755,0.021409338550423068,1
azauridine,9,46,128,0.061734487194312036,0.006697582442147001,0.07348504014249686,0
azelastine,7,49,206,0.05549061388150011,0.009331811441612834,0.05792556924758443,1
azithromycin,9,57,246,0.03203961535593131,0.005345702910116376,0.05300738343904539,0
azlocillin,2,11,25,0.14835100042451382,0.011873655820767255,0.1662776646416806,1
aztreonam,2,10,24,0.22750842928175705,0.010715206288680473,0.16970643083072406,0
bacampicilline,2,12,30,0.15376012087780186,0.019903242077013918,0.15179004622254605,1
baccatin-III,13,65,157,0.047952517637475774,0.011243670696310118,0.06635201166521548,0
bacitracin,2,11,25,0.16760167226432623,0.012487389581238935,0.1662776646416806,1
baclofen,2,10,24,0.1548081923962232,0.013643682126061615,0.16970643083072406,0
baeomycesic-acid,4,28,87,0.0712716188119472,0.00844098290257262,0.08913418426295049,1
bafilomycin,3,36,180,0.1210608823467881,0.010875228657332049,0.06196802687978517,0
balsalazide,9,46,127,0.1113403847442227,0.010556279972004392,0.07377378404515243,1
barasertib-HQPA,19,549,12816,0.01922841267185818,0.0007635359008479385,0.0073439155005245805,0
batimastat,51,160,363,0.028757950601328512,0.0047204832659068965,0.043636570200498465,1
beclometasone,9,60,258,0.0472217445575278,0.012516702509032725,0.05175997615586897,0
beclomethasone-dipropionate,13,110,609,0.0446739810956926,0.0037253678155686684,0.033689554982053435,1
belinostat,13,81,448,0.2029191914141035,0.005615355886929707,0.03927940618093614,0
bemegride,13,75,260,0.03305740999102064,0.005187059192786092,0.05156051500486066,1
bemesetron,13,64,147,0.030350812579458732,0.010846902643532132,0.06857175317221187,0
benactyzine,7,36,101,0.07159191654599809,0.0064458174908626495,0.08272623010986836,1
benazepril,13,130,905,0.02803655146250857,0.005850808501216446,0.027636282980538822,0
bendroflumethiazide,13,140,1074,0.022458776465116067,0.0032326877582128577,0.025368908373712445,1
benfluorex,3,50,528,0.12464168244716438,0.003866113068605173,0.03618153262326423,0
benfotiamine,2,12,30,0.10855809231162697,0.011685831708321234,0.15179004622254605,1
benidipine,7,36,99,0.060590494391093784,0.006932890509015438,0.0835576703989393,0
benperidol,13,79,297,0.038434733671641914,0.005125083847164668,0.048242043497685634,1
benproperine,7,37,104,0.05872684287984811,0.010395190004528718,0.0815243323733237,0
benserazide,2,11,25,0.13835249187575469,0.011470345737783683,0.1662776646416806,1
benzamil,13,127,922,0.025053636427567076,0.004077372832825875,0.027380316250343973,0
benzanthrone,4,33,135,0.060274011232152196,0.0046355860959776795,0.07155451400038787,1
benzathine,2,11,25,0.16796098895642705,0.01785482210572777,0.1662776646416806,0
benzatropine,8,56,276,0.038176275700168696,0.004644340366569205,0.0500436962674954,1
benzbromarone,9,128,1407,0.03526276876291231,0.0028828511788368425,0.022164445554601946,0
benzethonium,2,12,30,0.1997513933196808,0.019010091503946308,0.15179004622254605,1
benzo(a)pyrene,4,33,135,0.07909015752737947,0.005091215264290241,0.07155451400038787,0
benzocaine,2,12,30,0.15815582929036004,0.015898740206222894,0.15179004622254605,1
benzohydroxamic-acid,11,349,11643,0.02315481539267859,0.0006692645386360794,0.007704979221150295,0
benzonatate,14,234,5289,0.02466294443033651,0.0017433076163183828,0.011431866312980559,1
benzopurpurin-4b,13,82,294,0.04818609841217436,0.004351288216228694,0.04848755166592116,0
benzoxiquine,12,78,286,0.05581313308416367,0.007092181718530227,0.04916102213937066,1
benzthiazide,13,92,455,0.02838626345174369,0.005369727642132976,0.03897608576379302,0
benzydamine,13,81,324,0.03551678237643576,0.00484646529883789,0.04618824017824461,1
benzyl-quinazolin-4-yl-amine,8,50,163,0.06390649368862499,0.013949875472977337,0.06511935921509471,0
benzylpenicillin,13,77,272,0.03944212655135592,0.006998459183726833,0.05041032165431471,1
bephenium,2,11,25,0.153291409135371,0.012452444425063835,0.1662776646416806,0
bepridil,13,94,402,0.025778918689954237,0.0037894867018247805,0.04146588071656261,1
berbamine,8,53,172,0.04295213135997384,0.009074425273091621,0.06339276534025146,0
bergenin,8,52,167,0.03081505496735,0.005458910463256938,0.06433475997562621,1
beta-CCP,13,71,204,0.037735347123993415,0.004734573691048805,0.05820882555410844,0
beta-alanine,3,18,48,0.09897390395388736,0.006312997679011074,0.12000056805137077,1
betaescin,2,12,30,0.22819493113318262,0.02083321849644375,0.15179004622254605,0
betahistine,13,75,317,0.03135690862729755,0.006087816026260445,0.04669542037297078,1
betamethasone,13,147,928,0.045529009153529365,0.003954645787448971,0.02729165876043037,0
betamethasone-acetate,13,81,283,0.05520486516074073,0.013575001477389218,0.04942090600560067,1
betaxolol,13,110,698,0.023347804217591805,0.00323054761314347,0.031468512118742596,0
betazole,4,153,4284,0.04652851090514383,0.0019462547237088723,0.012702207105532463,1
bethanechol,8,56,276,0.04229955248852702,0.003477273870321311,0.0500436962674954,0
betulinic-acid,13,65,158,0.03473134254003518,0.005976383108122761,0.06614170365070911,1
bezafibrate,15,88,325,0.03803928586781202,0.005041757375551535,0.04611712660230654,0
bicalutamide,13,125,1034,0.027291701068029483,0.0021664124842452844,0.02585494696120664,1
bicuculline,9,35,62,0.0483493116496207,0.01192925938878479,0.1055864226339426,0
bietaserpine,3,18,48,0.103506144257466,0.006312912646260872,0.12000056805137077,1
bifemelane,13,101,490,0.037424876075534734,0.004439169682624822,0.037558296020096874,0
bifonazole,7,37,104,0.04008509899180121,0.006356844336925488,0.0815243323733237,1
bimatoprost,8,44,138,0.048998141717356745,0.005329197603707351,0.07077247397277182,0
biochanin-a,13,71,215,0.03644279931660318,0.006520186453858681,0.05670021303299794,1
biotin,13,83,351,0.03641953989149749,0.004793367974069099,0.04437622576348955,0
biperiden,13,143,898,0.030658848268559333,0.0064108409953951544,0.027743787682555157,1
bis-tyrphostin,13,72,218,0.04453361060790427,0.007197416108909168,0.05630872241521197,0
bisacodyl,13,93,457,0.157747553469414,0.009973136883163793,0.03889070540766323,1
bisbenzimide,13,54,106,0.18275368713382853,0.02456173404004325,0.08075157244612337,0
bisindolylmaleimide,54,296,2135,0.07589826425122331,0.002097518391845177,0.017993058041633515,1
bisindolylmaleimide-ix,12,61,167,0.20005964386959182,0.011896893679652588,0.06433475997562621,0
bisoprolol,13,119,733,0.016251469910233126,0.0030298916276626582,0.030708028376576765,1
bithionol,13,83,301,0.0864206357639074,0.008263091464652022,0.047920426288851486,0
blebbistatin,51,164,399,0.048040885543926014,0.00323926717771016,0.04162147556236048,1
boldine,13,63,146,0.055899417663903106,0.00797644154222634,0.0688061872002523,0
bongkrek-acid,13,62,162,0.04023594838215207,0.00664148629680898,0.06532003568221943,1
bortezomib,51,290,3177,0.13013224666917947,0.002675169329881661,0.014750111835891918,0
bosentan,8,55,262,0.04162259019171702,0.0048658839299183625,0.051363342141118984,1
bosutinib,15,79,214,0.07945161674365922,0.005740042978742152,0.056832535763789646,0
brazilin,12,76,280,0.12082846106376918,0.011314411384137246,0.04968495546826164,1
brefeldin-a,56,255,1121,0.13802820745112687,0.009289366342756119,0.024831394763365478,0
bretylium,2,11,25,0.1439522157455299,0.008640392814037879,0.1662776646416806,1
brimonidine,13,110,613,0.02143985382559871,0.004424263672926626,0.03357945810271376,0
brinzolamide,13,72,231,0.02637624782040581,0.004830933216116076,0.0547013356424729,1
brivanib,19,200,1590,0.022199413721968934,0.0023610889469565743,0.020849966350926497,0
bromfenac,8,44,139,0.03839897663106777,0.004991051502829342,0.07051743720105612,1
bromhexine,13,95,413,0.02433724697243326,0.009341044001885452,0.04090994491735614,0
bromocriptine,14,212,2274,0.021895856929855247,0.002762611390785124,0.01743446762523115,1
bromperidol,2,12,30,0.09379253412953194,0.01846178448785358,0.15179004622254605,0
brompheniramine,13,119,1225,0.03566592625608368,0.005537834886113833,0.023753952091668657,1
brucine,13,131,838,0.02420184676541325,0.005260039649293311,0.028719833067356117,0
bucladesine,56,421,5358,0.016956640140171175,0.0018174005140231624,0.01135801834862181,1
buddleoflavonoloside,14,96,533,0.03217897646422473,0.003417294247233437,0.036011425744876605,0
budesonide,13,246,3657,0.03299262073742203,0.0021036706270246043,0.013748060682760145,1
bufalin,13,55,106,0.23868512136380068,0.023497428406655585,0.08075157244612337,0
bufexamac,2,10,24,0.2030903374812969,0.008077731751798961,0.16970643083072406,1
buflomedil,7,49,206,0.023027223232980596,0.006912395075780502,0.05792556924758443,0
bulleyaconitine-a,13,65,158,0.040399854427780595,0.011114243299842383,0.06614170365070911,1
bumetanide,13,160,1646,0.017482534189816903,0.002296247832825288,0.020492219783836606,0
buparlisib,6,134,1249,0.05769797977860936,0.002912918732848253,0.023524624578153387,1
buphenine,13,76,274,0.04199688409551173,0.004838033805800985,0.05022600541869262,0
bupivacaine,2,10,24,0.19109987594467706,0.012501375302237027,0.16970643083072406,1
bupropion,13,166,1615,0.0215962428162585,0.003911904920848548,0.020687959495590543,0
buspirone,13,129,852,0.03828726633447133,0.008516979671216906,0.028482894627242027,1
busulfan,8,81,657,0.051363921954696516,0.0046918611907426164,0.032435547704592955,0
butabindide,13,67,165,0.03704781296224477,0.005564046247276161,0.06472349318059607,1
butacaine,2,11,25,0.15830609220791908,0.022677843750057183,0.1662776646416806,0
butalbital,2,12,30,0.1177089037042991,0.013163091580060567,0.15179004622254605,1
butamben,2,12,30,0.20693874854161362,0.01785554453189161,0.15179004622254605,0
butein,13,62,135,0.09796254495601935,0.012967270554916215,0.07155451400038787,1
butenafine,2,12,30,0.1537437950990033,0.00855130687236295,0.15179004622254605,0
buthionine-sulfoximine,13,64,169,0.05130513023966059,0.007556462721788347,0.06395294793910793,1
butirosin,2,11,25,0.15366414524146152,0.016015918114007707,0.1662776646416806,0
butoconazole,13,63,167,0.034502970252914995,0.0065230430202981695,0.06433475997562621,1
butyl-paraben,13,95,438,0.02339772019938627,0.002982750578252274,0.039725270701977455,0
butylscopolammonium,2,12,30,0.14831745850736464,0.02045512229885412,0.15179004622254605,1
butyrolactone,3,18,45,0.07899911123798894,0.013850960735234537,0.12393605375957034,0
byssochlamic-acid,8,52,168,0.028577071533335666,0.004223078815629317,0.06414300169521149,1
cabergoline,14,138,799,0.03015687356010454,0.003289385698699907,0.02941240455805098,0
caffeic-acid,13,112,678,0.03574084777253815,0.003177734925420916,0.03192927619627192,1
caffeic-acid-phenethyl-ester,3,36,180,0.19835133602390317,0.016722269917131206,0.06196802687978517,0
caffeine,15,111,530,0.01810615726564033,0.004136374444355339,0.036113201055906166,1
calcifediol,15,110,640,0.030797273079722444,0.00323460165801418,0.03286350901758476,0
calcipotriol,8,129,1295,0.04866571143614817,0.005383456476801017,0.02310303501710891,1
calcitriol,59,411,4195,0.03799801520201047,0.0021774562379616863,0.012836243235364643,0
calmidazolium,13,105,534,0.07325491114588716,0.0053462450198282115,0.035977691380802694,1
calpeptin,55,239,1119,0.03314962975870414,0.005638546285674804,0.024853575558108163,0
calycanthine,13,68,179,0.027547178511527732,0.005900530733106669,0.06214088084701491,1
calyculin,8,53,172,0.13407602238960054,0.012025651496579555,0.06339276534025146,0
camptothecin,12,198,2850,0.11662537172763772,0.002700261395755997,0.015573330148633716,1
candesartan,2,11,25,0.13741436904781212,0.010453295631538973,0.1662776646416806,0
candesartan-cilextil,13,83,301,0.025234332290604077,0.0038825907336255136,0.047920426288851486,1
canertinib,19,200,1580,0.048863619989611445,0.002553582289085538,0.020915843186011477,0
canrenoic-acid,13,92,403,0.023937555930984525,0.006164138586596016,0.041414402260071405,1
canrenone,2,11,25,0.14479012539238587,0.011100646282913565,0.1662776646416806,0
capecitabine,13,63,160,0.03984231710523928,0.014861845666390155,0.06572701803516952,1
capsaicin,53,220,900,0.034502153274290175,0.006166197311676684,0.027712944106946767,0
capsazepine,13,66,162,0.08298386297008878,0.006884313895895968,0.06532003568221943,1
captopril,8,99,777,0.023501658074199697,0.00282605745755643,0.029825889956036536,0
carbachol,2,11,25,0.16084624488491225,0.014684710697504964,0.1662776646416806,1
carbacyclin,18,277,5495,0.019188992753823613,0.001321422715333095,0.011215536993730606,0
carbadox,2,12,30,0.16086820068941457,0.014625733515101286,0.15179004622254605,1
carbamazepine,57,323,2828,0.023954883763103372,0.0017819108890718318,0.01563378798375823,0
carbarsone,2,12,30,0.12166595578662844,0.012137445862167069,0.15179004622254605,1
carbenoxolone,13,138,876,0.017959500190820283,0.0026413352555973856,0.028090008297839537,0
carbetocin,13,63,166,0.06863951075614971,0.01037341497786468,0.06452824841243086,1
carbidopa,13,107,829,0.026363095034071055,0.004426226888489591,0.02887530999143844,0
carbimazole,2,12,30,0.11193835312029152,0.014473701613841624,0.15179004622254605,1
carbinoxamine,13,126,843,0.044544555628899134,0.009697615333358988,0.028634534889465865,0
carbofuran,13,70,205,0.03476013583696974,0.005247346167758607,0.05806667924778186,1
cardamonin,3,18,45,0.09934504726656636,0.010309737419637643,0.12393605375957034,0
cardiogenol-c,13,72,218,0.03784718955826184,0.006357060471477611,0.05630872241521197,1
carisoprodol,2,12,30,0.11647924465214811,0.013993302228260621,0.15179004622254605,0
carmofur,7,37,104,0.09025109367124136,0.008082064483714598,0.0815243323733237,1
carmoxirole,13,65,156,0.03223522615952338,0.010342798817616792,0.06656433864523432,0
carnosol,3,18,45,0.1055109492026986,0.012579016330547945,0.12393605375957034,1
carprofen,13,74,303,0.020822141247625173,0.0037121016728987157,0.04776201122297543,0
carteolol,13,75,317,0.030219531059897126,0.004622250000348832,0.04669542037297078,1
carvedilol,13,153,1747,0.018590008849780827,0.0018524169103234524,0.019891038962454536,0
catechin,13,96,499,0.026807349232347333,0.0027536057410339682,0.03721805280833816,1
catharanthine,2,10,24,0.22424754262143526,0.008198346555276296,0.16970643083072406,0
cediranib,14,67,171,0.1000784320538044,0.017510550748289666,0.06357785410009052,1
cefaclor,9,58,265,0.035349698656522516,0.006287098375354616,0.05107177871396887,0
cefadroxil,2,12,30,0.10539602347430457,0.008192094613433428,0.15179004622254605,1
cefalotin,2,12,30,0.13928315805690433,0.009823734818843848,0.15179004622254605,0
cefatrizine,7,37,104,0.03667715540054671,0.006403132950529972,0.0815243323733237,1
cefazolin,8,56,276,0.02617321375322755,0.0039018254055650852,0.0500436962674954,0
cefdinir,9,60,258,0.04335175457232008,0.006676696783798003,0.05175997615586897,1
cefepime,2,11,25,0.14517670279728787,0.013710200724775374,0.1662776646416806,0
cefixime,13,119,720,0.03542573837187112,0.003789694403732482,0.030984013439892585,1
cefmetazole,2,12,30,0.12297582614375373,0.011025258183892389,0.15179004622254605,0
ceforanide,13,76,263,0.03784012052132789,0.005255228380939724,0.05126560020261291,1
cefotaxime,9,55,212,0.03578997405715607,0.0075148592038069995,0.057099984468130596,0
cefotetan,2,12,30,0.14670191703377602,0.012297402780194944,0.15179004622254605,1
cefotiam,13,82,345,0.04193769567754047,0.004553871779788225,0.04476044267978889,0
cefoxitin,8,56,276,0.02805926340887439,0.003726777388552337,0.0500436962674954,1
cefpodoxime,7,36,102,0.06576231846492035,0.008713360912045578,0.08231971054842975,0
