compound,n_lines,r2_lineage,r2_nonsyn,r2_expression,r2_expr_lineage,r2_cnv,r2_expr_on_cnv_lines,r2_cnv_expr,n_lines_cnv,r2_protein,n_lines_rppa
dabrafenib,723,0.22715058793677834,0.03643560861296535,0.27710428977939094,0.2767465329567309,0.056064811533747316,0.2954352241872663,0.2817579737876792,721,0.20688771706982279,654
daunorubicin,723,0.028944856610150782,0.02170670286356402,0.1430388305529594,0.14489400640787098,0.020746069127597355,0.1595793027248541,0.14007977572122954,721,0.13973700264383393,654
dichloroacetate,723,-0.005646539890318714,-0.009218618043416171,0.0677875535637561,0.06494298019550426,-0.008340212861898344,0.05629908000489636,0.05130588588988305,721,0.04467284816312178,654
elesclomol,723,-0.00976562277344284,-0.024883160594823428,0.08788172023755503,0.08827545667831971,0.0019058458098071274,0.08115876564892066,0.07145841789157414,721,0.04918120291854322,654
idasanutlin,723,0.05628219765036202,0.027785051744242506,0.3859665004030607,0.3833173919952022,0.0994680497961955,0.4029991374416111,0.33643194758752537,721,0.3360133994884702,655
idelalisib,723,0.009529918301548923,-0.000863524220131362,0.08577101146788824,0.08806115149747895,-0.010591035122770043,0.10569250177276357,0.059494335780684526,721,0.07587787898251419,655
indisulam,723,0.014420002047326075,-0.004349258478173246,0.09191403107380891,0.0885611366890483,0.041861320816612535,0.10912147251070015,0.11780183518865228,721,0.0736569297337546,654
linifanib,723,0.036417029649456034,0.00903877404663056,0.10550786068897156,0.10457180622858064,0.005909343112796117,0.09754847644204023,0.08474197631193081,721,0.032682178608812174,654
niraparib,723,0.04258465241239873,0.024574876443716698,0.15810470123703424,0.15859650277251713,0.030065003001037316,0.1929034336178056,0.1431102306361195,721,0.08770306578049791,654
resiquimod,723,0.030265909407373837,0.011515076913050315,0.10557532861791386,0.10584324127273192,-0.009491021576119252,0.10295764223904691,0.07298244977375146,721,0.1018405074246117,654
sorafenib,723,0.042497116098267784,-0.008845832874590842,0.04580758669865381,0.04776899237819998,-0.007993880118286611,0.027833140063781014,0.028583543136440515,721,-0.012885330834303765,654
sunitinib,723,0.015407651814243084,-0.024646966523510505,0.06058964662166266,0.06178783573299895,-0.007180836683557734,0.07817592847746357,0.04509425199432249,721,0.03434192250880419,654
