drug,cdi,moa,n_targets,target_mut_freq,target_expr_var,target_expr_mean
AZD1390,0.1866020143514967,,1,0.18,0.011967476723043956,4.629072823751863
AZD-7648,0.185398989183891,,1,0.0,0.010179992808677558,4.698017058797641
L-Eflornithine (monohydrochloride),0.1849049983709881,,1,0.0,0.03575973014213582,4.272906608874629
Bentamapimod,0.1844066416363307,,3,0.0,0.0604468960703989,4.230229786091693
Pimitespib,0.1841668903143982,,2,0.0,0.008492027468851642,4.877449321705179
CP21R7,0.1838245708907744,,2,0.0,0.019308964214122294,4.752228290340634
Zileuton,0.1831538010827457,,1,0.0,0.5799269030448649,3.083360454293495
Tucatinib,0.1820702946444447,,1,0.06,0.05930566205360166,4.122016049371257
Asciminib,0.1792856383373053,,1,0.04,0.014003782330415174,4.572441967571391
Imiquimod (maleate),0.1784664225370499,,1,0.0,0.19898965943182786,0.7296653071064622
Pentamidine (isethionate),0.1782714354738014,,1,0.0,0.2899920639154445,2.89342679519537
APTO-253,0.177159303415976,,2,0.06,0.077671497565171,4.142659356523842
Piroxicam,0.1766637117936965,,2,0.0,0.31638818919110934,3.6003058728616613
Vismodegib,0.1715167468799492,,3,0.0,0.3590838572892318,3.1799337159886782
GSK1059615,0.1694951682680324,,5,0.06,0.16824648087600252,3.695553517124438
MK-8353,0.1679130982242189,,2,0.02,0.013823267986489916,4.199596201178353
Anastrozole,0.1659287729834208,,1,0.0,0.15560757147317733,2.7271160271788193
Sunitinib,0.1654800439403124,,2,0.0,0.7575994870898843,2.2476505926406234
LY2090314,0.1653888022046449,,2,0.0,0.008151101292409134,4.3857910035511045
Allopurinol,0.164772873262162,,1,0.0,0.23867026792697765,3.6974801047428953
Dexmedetomidine,0.1642769361824366,,3,0.0,0.6725336154425188,1.3970246094813896
TAK-733,0.1624809001071003,,1,0.04,0.012313400207734453,4.623030025800821
Phenylephrine (hydrochloride),0.1612774945675305,,3,0.0,0.40961037203323114,2.1851414929826474
Cabozantinib (S-malate),0.1605403952899727,,3,0.02,0.36727865739292836,3.510033909206412
LY-2584702 (tosylate salt),0.158715404096873,,1,0.0,0.008220055774488684,4.456667989926424
Cyclosporin A,0.1583867435561703,,3,0.0,0.01836378104159142,4.485994465762988
Tirabrutinib (hydrochloride),0.157366271235573,,1,0.0,0.328902560719064,1.601383671430675
Pemigatinib,0.1561827700513843,,4,0.02,0.4008310039439169,3.5359075298986733
Crizotinib (hydrochloride),0.1547045407925111,,3,0.02,0.308895439047651,3.4883121120236145
Simotinib,0.1509930845853986,,1,0.08,0.03938794441741245,4.73702816613291
Clopidogrel,0.1509096846078336,,1,0.0,0.24751381390296717,1.5101957348490478
Flutamide,0.1505938553986152,,1,0.0,0.5438319965359807,3.288932643961204
Docetaxel (Trihydrate),0.1477961716502734,,6,0.0,0.3191594519732394,3.1858329464667587
Flumatinib (mesylate),0.146290451175954,,1,0.04,0.014003782330415174,4.572441967571391
Citalopram (hydrobromide),0.1454063849314455,,1,0.0,0.20638346030196672,2.2050754502666288
Torkinib,0.1437705243386087,,13,0.03230769230769231,0.2318921316470246,3.6098206785981644
Pexidartinib (hydrochloride),0.1436241566748031,,3,0.0,0.5105174622565557,2.1840423798782873
Vortioxetine,0.1430479178018285,,3,0.0,0.29978772703258766,1.9080114173364955
Fulvestrant,0.1381532933912442,,1,0.0,0.21936141938677042,3.0691334938606745
NVP-BHG712,0.1372031666705947,,1,0.0,0.06336709714916383,3.998648076707253
TAK-901,0.1370018138799087,,1,0.0,0.10380547888929184,3.975699572036374
