n_ctx,n_pert,n_rep,pairs_per_cond,n_pairs,mean_share,se,n_draws,permuted
20,10,2,1,200,0.12224805834638874,0.11183257307438241,20,True
20,10,3,3,600,0.12937383565890992,0.1031910834410286,20,True
20,25,2,1,500,0.12818305491661963,0.07488003920604404,20,True
20,25,3,3,1500,0.0489058939724895,0.06075124123621809,20,True
20,50,2,1,1000,0.09557463609412484,0.07751274304966563,20,True
20,50,3,3,3000,0.05828142226637882,0.06270999978023455,20,True
20,100,2,1,2000,0.0772518167310661,0.057737239385773374,20,True
20,100,3,3,6000,0.0708076153087694,0.05515627031992093,20,True
20,200,2,1,4000,0.05588765471340131,0.04234224586826269,20,True
20,200,3,3,12000,0.03074374025224456,0.032896948946603784,20,True
20,400,2,1,8000,0.06566785922789438,0.056298712611417986,20,True
20,400,3,3,24000,0.0476230012546966,0.050702346482303894,20,True
40,10,2,1,400,0.12235490555246926,0.0950490103734597,20,True
40,10,3,3,1200,0.0993941786963298,0.08021088779323159,20,True
40,25,2,1,1000,0.07196245511064278,0.07240607419992154,20,True
40,25,3,3,3000,0.04692214426020812,0.047364990795423,20,True
40,50,2,1,2000,0.04092521540631136,0.04202155224799169,20,True
40,50,3,3,6000,0.027868948145879712,0.030980004561459842,20,True
40,100,2,1,4000,0.03356741801053779,0.03629878430086466,20,True
40,100,3,3,12000,0.03396905037563312,0.0322974358663348,20,True
40,200,2,1,8000,0.031320381521841266,0.04754688604013812,20,True
40,200,3,3,24000,0.029514963350034906,0.03321844753408043,20,True
40,400,2,1,16000,0.023143989685509868,0.030805010692581656,20,True
40,400,3,3,48000,0.024407610984118682,0.02513381665021342,20,True
80,10,2,1,800,0.10872243837564637,0.08090988563107258,20,True
80,10,3,3,2400,0.09654581093191225,0.07071731077997152,20,True
80,25,2,1,2000,0.06697251840213776,0.05590535576670873,20,True
80,25,3,3,6000,0.050708879851984454,0.04387300090572979,20,True
80,50,2,1,4000,0.026617629464480597,0.02926615433877665,20,True
80,50,3,3,12000,0.017880462280119074,0.02060587467197981,20,True
80,100,2,1,8000,0.02782512797280622,0.033938586206115944,20,True
80,100,3,3,24000,0.0162503074338302,0.021113049303962583,20,True
80,200,2,1,16000,0.016768396430833138,0.02022766222949959,20,True
80,200,3,3,48000,0.013155033816327577,0.02080889056467648,20,True
80,400,2,1,32000,0.011422334542966409,0.02260962697921967,20,True
80,400,3,3,96000,0.008478918120303536,0.009259721916538103,20,True
160,10,2,1,1600,0.0733539666476875,0.039587207091345264,20,True
160,10,3,3,4800,0.06405292605888847,0.0410737428929583,20,True
160,25,2,1,4000,0.04178624918830834,0.04145928925893697,20,True
160,25,3,3,12000,0.03642173579980927,0.031144647951827895,20,True
160,50,2,1,8000,0.008806283468511844,0.01913178101078812,20,True
160,50,3,3,24000,0.02287894776061333,0.017834302442890578,20,True
160,100,2,1,16000,0.012432228968381169,0.016579546264870376,20,True
160,100,3,3,48000,0.006497802694113453,0.009042267444841328,20,True
160,200,2,1,32000,0.003757209660099758,0.007072100345272275,20,True
160,200,3,3,96000,0.004481701814727927,0.007056451533144987,20,True
160,400,2,1,64000,0.0025735224788209655,0.00500073458508138,20,True
160,400,3,3,192000,0.0015594609822493235,0.0037122042649530085,20,True
