kind,pearson
unmatched,0.9146802425384521
unmatched,0.9259504675865173
unmatched,0.9378626942634583
unmatched,0.9452911019325256
unmatched,0.8919463753700256
unmatched,0.9306758046150208
unmatched,0.923760712146759
unmatched,0.9360883235931396
unmatched,0.9178981781005859
unmatched,0.9168198704719543
unmatched,0.8918378353118896
unmatched,0.9339491128921509
unmatched,0.934999942779541
unmatched,0.894081711769104
unmatched,0.9201887845993042
unmatched,0.933054506778717
unmatched,0.9821347594261169
unmatched,0.8956069350242615
unmatched,0.9596290588378906
unmatched,0.9447535872459412
unmatched,0.8662375211715698
unmatched,0.9230583310127258
unmatched,0.8781754374504089
unmatched,0.9376155138015747
unmatched,0.9421539902687073
unmatched,0.9334118366241455
unmatched,0.926886796951294
unmatched,0.9297741055488586
unmatched,0.9353948831558228
unmatched,0.9209644794464111
unmatched,0.9451549053192139
unmatched,0.9860634803771973
unmatched,0.8933069705963135
unmatched,0.9929893612861633
unmatched,0.9084047675132751
unmatched,0.8778038024902344
unmatched,0.9205494523048401
unmatched,0.940900981426239
unmatched,0.9330017566680908
unmatched,0.9299901723861694
unmatched,0.925117015838623
unmatched,0.9329074025154114
unmatched,0.9245538711547852
unmatched,0.9272118806838989
unmatched,0.933209240436554
unmatched,0.9666233658790588
unmatched,0.9329652190208435
unmatched,0.9794753789901733
unmatched,0.8926346898078918
unmatched,0.8778215050697327
unmatched,0.9202665686607361
unmatched,0.9263821840286255
unmatched,0.9313298463821411
unmatched,0.9225956797599792
unmatched,0.9860634803771973
unmatched,0.9304274320602417
unmatched,0.9810315370559692
unmatched,0.9425622224807739
unmatched,0.9265149235725403
unmatched,0.9280198812484741
unmatched,0.9215953946113586
unmatched,0.9386839270591736
unmatched,0.9468866586685181
unmatched,0.9250555634498596
unmatched,0.8787238597869873
unmatched,0.9379727840423584
unmatched,0.9271575808525085
unmatched,0.9228935241699219
unmatched,0.9203011393547058
unmatched,0.9348167777061462
unmatched,0.9323517680168152
unmatched,0.9329652190208435
unmatched,0.9276998043060303
unmatched,0.9245456457138062
unmatched,0.923980176448822
unmatched,0.9875486493110657
unmatched,0.9111084342002869
unmatched,0.9905275702476501
unmatched,0.9068732261657715
unmatched,0.9591412544250488
unmatched,0.93266761302948
unmatched,0.923843264579773
unmatched,0.8443418741226196
unmatched,0.8914257884025574
unmatched,0.9846292734146118
unmatched,0.9250248074531555
unmatched,0.9323712587356567
unmatched,0.9249541759490967
unmatched,0.9403762817382812
unmatched,0.9301636219024658
unmatched,0.9317002296447754
unmatched,0.9322314262390137
unmatched,0.9250248074531555
unmatched,0.9883672595024109
unmatched,0.9359306693077087
unmatched,0.9426580667495728
unmatched,0.9334423542022705
unmatched,0.8902201056480408
unmatched,0.9196677207946777
unmatched,0.9164280891418457
unmatched,0.9209976196289062
unmatched,0.9397076964378357
unmatched,0.8622353672981262
unmatched,0.8815947771072388
unmatched,0.9435591101646423
unmatched,0.8729651570320129
unmatched,0.9285538792610168
unmatched,0.9237337708473206
unmatched,0.9324773550033569
unmatched,0.9638547897338867
unmatched,0.9238210916519165
unmatched,0.93752121925354
unmatched,0.9347710609436035
unmatched,0.9862156510353088
unmatched,0.9329489469528198
unmatched,0.9825131297111511
unmatched,0.9329506754875183
unmatched,0.9136942625045776
unmatched,0.924454391002655
unmatched,0.940900981426239
unmatched,0.9286273121833801
unmatched,0.9325878620147705
unmatched,0.8748854398727417
unmatched,0.927386999130249
unmatched,0.9188212156295776
unmatched,0.9369122982025146
unmatched,0.940536379814148
unmatched,0.9427476525306702
unmatched,0.9331914782524109
unmatched,0.985044002532959
unmatched,0.9166306853294373
unmatched,0.9324164390563965
unmatched,0.9374020099639893
unmatched,0.8821623921394348
unmatched,0.8797804713249207
unmatched,0.9812589287757874
unmatched,0.9331925511360168
unmatched,0.9257304072380066
unmatched,0.9940671324729919
unmatched,0.9292629957199097
unmatched,0.9357897043228149
unmatched,0.9397076964378357
unmatched,0.9232842922210693
unmatched,0.9138784408569336
unmatched,0.9260287880897522
unmatched,0.9199160933494568
unmatched,0.9334423542022705
unmatched,0.899296224117279
unmatched,0.8703413009643555
unmatched,0.9119333028793335
unmatched,0.8762891292572021
unmatched,0.9013037085533142
unmatched,0.9227678179740906
unmatched,0.931182324886322
unmatched,0.9097655415534973
unmatched,0.9445955753326416
unmatched,0.9337977170944214
unmatched,0.9309998750686646
unmatched,0.9387170672416687
unmatched,0.9231195449829102
unmatched,0.8918150067329407
unmatched,0.9309377074241638
unmatched,0.9271159768104553
unmatched,0.9242017269134521
unmatched,0.924324095249176
unmatched,0.9076489806175232
unmatched,0.8741437792778015
unmatched,0.929042398929596
unmatched,0.9218547940254211
unmatched,0.9395274519920349
unmatched,0.9205548167228699
unmatched,0.9258862137794495
unmatched,0.9244821071624756
unmatched,0.871306836605072
unmatched,0.9275573492050171
unmatched,0.8623501062393188
unmatched,0.9325363039970398
unmatched,0.98080974817276
unmatched,0.9070902466773987
unmatched,0.9231394529342651
unmatched,0.9321932196617126
unmatched,0.9411421418190002
unmatched,0.914048433303833
unmatched,0.9494826793670654
unmatched,0.9223560094833374
unmatched,0.9495552778244019
unmatched,0.9147064685821533
unmatched,0.9886299967765808
unmatched,0.9384984970092773
unmatched,0.9241158962249756
unmatched,0.9270017147064209
unmatched,0.9293138980865479
unmatched,0.9228935241699219
unmatched,0.9684318900108337
unmatched,0.9388836622238159
unmatched,0.9371443390846252
unmatched,0.9405483603477478
unmatched,0.8970233201980591
unmatched,0.9143617749214172
unmatched,0.921485185623169
unmatched,0.9063987135887146
unmatched,0.9254968166351318
unmatched,0.9329421520233154
unmatched,0.9752064943313599
unmatched,0.9114444255828857
unmatched,0.9258984923362732
unmatched,0.9395749568939209
unmatched,0.9303781986236572
unmatched,0.9284512996673584
