gene,component,n_mut,n_wt,effect,p,q
MSH3,C1,130,8562,0.11384382843971252,1.0392525003900907e-06,0.0010850356013100287
HLA-B,C1,116,8576,0.13927797228097916,1.045489699660726e-06,0.0010850356013100287
ERMP1,C1,70,8622,0.14333559945225716,1.1032522270070553e-06,0.0011330012082790943
DCHS1,C1,340,8352,0.06558905262500048,1.1129053179661064e-06,0.0011330012082790943
SYTL2,C1,235,8457,0.08706509321928024,1.1983137490038064e-06,0.0011961812276140161
C1QL1,C1,25,8667,0.23295703530311584,1.199415860859286e-06,0.0011961812276140161
TSHZ3,C1,315,8377,0.07227484881877899,1.2194211116387011e-06,0.0011961812276140161
MANSC4,C1,29,8663,0.20627771317958832,1.231768166540151e-06,0.0011961812276140161
CHD6,C1,338,8354,0.07234001159667969,1.2330290470621793e-06,0.0011961812276140161
KEAP1,C1,247,8445,0.09091620147228241,1.242105563025331e-06,0.0011961812276140161
PRPF4B,C2,120,8572,0.07639828650280833,1.265372993910528e-06,0.0012077081389023198
OBSCN,C2,842,7850,0.027298808097839355,1.3213676649136489e-06,0.0012499904239699948
ATP10A,C1,305,8387,0.06926345825195312,1.3529912335842095e-06,0.0012686785167124357
KMT2A,C1,391,8301,0.07021734118461609,1.4350542826007499e-06,0.0013062979491870975
GMPS,C1,100,8592,0.10864441469311714,1.4365675075305026e-06,0.0013062979491870975
SPTBN1,C1,247,8445,0.07251296937465668,1.4427208135008952e-06,0.0013062979491870975
APEX1,C2,34,8658,0.13462429121136665,1.4549353693002655e-06,0.0013062979491870975
FOCAD,C1,171,8521,0.10585586726665497,1.4615910133548073e-06,0.0013062979491870975
NAA16,C1,105,8587,0.1056404560804367,1.4693698249180006e-06,0.0013062979491870975
C4orf21,C1,194,8498,0.11082875821739435,1.478652632948275e-06,0.0013062979491870975
DNAH10,C1,511,8181,0.06324214488267899,1.5122405907758154e-06,0.0013250202474718981
MYO7A,C1,265,8427,0.07627579383552074,1.5293980767250118e-06,0.001329158835850381
PCNX,C1,243,8449,0.07558371126651764,1.6089602696880097e-06,0.0013870275563594313
GPR155,C1,99,8593,0.12359289079904556,1.6387200762837315e-06,0.001397415090361894
DYNC2H1,C1,384,8308,0.05544888321310282,1.6471551918275578e-06,0.001397415090361894
CIC,C2,323,8369,0.03870741277933121,1.6779414599710043e-06,0.0014095617079533836
ERCC6,C1,132,8560,0.10047076269984245,1.689876267440492e-06,0.0014095617079533836
TRIO,C1,329,8363,0.07059438154101372,1.7010314728894112e-06,0.0014095617079533836
MPRIP,C1,120,8572,0.12616029381752014,1.7186124142007156e-06,0.0014131753279107667
HNRNPM,C1,115,8577,0.10507571697235107,1.7486826713826567e-06,0.0014172838543826955
FAT3,C1,791,7901,0.04291239380836487,1.7501259989009486e-06,0.0014172838543826955
WASF3,C1,116,8576,0.12379612028598785,1.7660708128793747e-06,0.0014194428993500273
BRWD1,C1,247,8445,0.07808657549321651,1.7861257986182918e-06,0.0014248485326052308
ZFHX4,C1,888,7804,0.048767536878585815,1.8282611520583481e-06,0.0014476578082254013
CTTNBP2,C1,234,8458,0.0798267126083374,1.894830544674264e-06,0.0014893368081139713
MUC6,C1,279,8413,0.07799864187836647,1.929010818543235e-06,0.0015051353318175009
FAT1,C1,603,8089,0.05855923891067505,2.041960086843648e-06,0.0015817200394437582
DCLK1,C2,193,8499,0.057398244738578796,2.0680939413200074e-06,0.0015904386327434785
NEB,C1,683,8009,0.05669702775776386,2.102042736762384e-06,0.0016049997170639414
TRRAP,C1,426,8266,0.061578523367643356,2.135304030330023e-06,0.0016188330469940292
PARD3B,C1,210,8482,0.08207612484693527,2.236171027479173e-06,0.001683364353193054
SMAD4,C7,229,8463,-0.10889788717031479,2.2573895303466954e-06,0.0016874539247268554
ADNP2,C1,136,8556,0.11099931597709656,2.297132600982313e-06,0.0016959683642959694
