gene,component,n_mut,n_wt,effect,p,q
TMED3,C5,22,8670,0.10843094810843468,0.3479602623132305,0.7029977039254848
NKD1,C5,72,8620,0.020574107766151428,0.34797018583501294,0.7029977039254848
INSRR,C6,237,8455,0.0018374919891357422,0.34797225713538016,0.7029977039254848
ARHGDIA,C10,31,8661,-0.03433710336685181,0.34797296708534675,0.7029977039254848
PAGE2B,C2,16,8676,0.06705483794212341,0.3479757620308568,0.7029977039254848
SAP30L,C2,16,8676,0.026507332921028137,0.3479757620308568,0.7029977039254848
AMDHD2,C6,55,8637,0.03251999616622925,0.34797922197363484,0.7029977039254848
SVIL,C7,284,8408,0.015751726925373077,0.34799600516014473,0.7029977039254848
UNC93B1,C5,51,8641,0.003988970071077347,0.34800341136429624,0.7029977039254848
TRIM4,C6,51,8641,0.045014455914497375,0.3480034113664985,0.7029977039254848
IL23A,C7,17,8675,-0.057745832949876785,0.3480052349448144,0.7029977039254848
SPRR2B,C5,24,8668,0.06884986907243729,0.3480122011221368,0.7029977039254848
FOXD4L5,C6,65,8627,-0.037043653428554535,0.3480226893157623,0.7029977039254848
SEMA7A,C5,78,8614,-0.010935660917311907,0.34802576596500256,0.7029977039254848
ERV3-1,C10,82,8610,0.039831604808568954,0.34803242078507846,0.7029977039254848
NXNL1,C2,23,8669,0.05998434126377106,0.34803727103536153,0.7029977039254848
TCF20,C5,206,8486,-0.004478715360164642,0.3480448795256865,0.7029977039254848
COL4A6,C10,232,8460,0.02456748206168413,0.34806427670791407,0.7029977039254848
FOXJ1,C1,34,8658,0.0332782156765461,0.3480729123683105,0.7029977039254848
PAK1,C5,62,8630,0.051338205114006996,0.3480769296300822,0.7029977039254848
PYCRL,C7,23,8669,0.04479954391717911,0.34808001693085966,0.7029977039254848
KRT8,C7,66,8626,0.08041038736701012,0.34808168952713026,0.7029977039254848
FBXL22,C2,20,8672,0.03463011980056763,0.3480880895642191,0.7029977039254848
IGLV2-33,C6,26,8666,-0.09151049703359604,0.34809395521814424,0.7029977039254848
CUTC,C6,43,8649,0.04972037300467491,0.34809490906211815,0.7029977039254848
CYBRD1,C7,37,8655,-0.01379852369427681,0.3480988200351728,0.7029977039254848
SNRPA1,C7,30,8662,0.05820951983332634,0.3481377112396553,0.7030623760315597
METTL15,C7,51,8641,-0.03709903359413147,0.34814717828275943,0.7030623760315597
SH3BGRL2,C7,17,8675,-0.04945605993270874,0.348154350058263,0.7030623760315597
SNF8,C6,31,8661,-0.010976782068610191,0.3481571515793913,0.7030623760315597
TPX2,C6,100,8592,0.036058321595191956,0.3481831646652409,0.7031016240376227
PIGF,C10,18,8674,-0.11269932985305786,0.3482053505281004,0.7031331422266435
ASB1,C5,47,8645,-0.013420164585113525,0.34823494407061895,0.7031744740638644
MAP3K5,C7,181,8511,-0.014665469527244568,0.348241012357312,0.7031744740638644
EIF2B1,C2,39,8653,0.06334554776549339,0.3482455532194,0.7031744740638644
ZMYM3,C10,187,8505,0.038855910301208496,0.34825466491342905,0.703179589743033
CAPN14,C5,55,8637,-0.004173293709754944,0.3482838925615763,0.7032253216588391
PARP16,C6,34,8658,-0.038502005860209465,0.34831923346354865,0.7032833949779858
CAAP1,C2,28,8664,0.04504374414682388,0.3483296807206838,0.7032912048639736
FN3KRP,C5,31,8661,-0.012756511569023132,0.3483413980300385,0.7033015786914534
OR1L6,C2,44,8648,0.013077976182103157,0.3483626934302937,0.7033234845877382
CHD3,C6,236,8456,-0.014251666143536568,0.3483654069232429,0.7033234845877382
ODF4,C5,32,8660,-0.008639130741357803,0.34837804400072625,0.7033287584139213
HSD17B3,C10,38,8654,0.032638998702168465,0.34838174552725243,0.7033287584139213
CALN1,C7,97,8595,0.029450640082359314,0.34838775780213604,0.7033287584139213
RAB34,C7,52,8640,0.05442562699317932,0.34840544393020345,0.7033425426480875
TSNARE1,C5,84,8608,-0.02179482951760292,0.34840866931569026,0.7033425426480875
GALP,C2,32,8660,0.024191275238990784,0.34841432477215406,0.7033425426480875
ADAM15,C2,80,8612,0.025466201826930046,0.34842406253000313,0.7033489177060697
VPS37C,C6,39,8653,-0.0020939260721206665,0.34844279767429165,0.7033581145007726
CRTC2,C1,78,8614,0.024269692599773407,0.34844504751260774,0.7033581145007726
UTP11L,C5,38,8654,0.008492756634950638,0.348448357933107,0.7033581145007726
TMEM39B,C7,44,8648,0.0707019567489624,0.3484555810336256,0.7033594129342203
PPAPDC2,C5,15,8677,-0.028290629386901855,0.3485140527117022,0.7034467899472053
CT47B1,C5,126,8566,0.012190851382911205,0.34851783814360926,0.7034467899472053
SNRPB2,C6,25,8667,-0.0021133944392204285,0.3485201525551457,0.7034467899472053
SCO2,C2,31,8661,-0.02243337780237198,0.3485257064432512,0.7034467899472053
PCYT2,C1,45,8647,0.05674804747104645,0.3485317723392254,0.7034467899472053
TAF7,C10,46,8646,0.03521513566374779,0.34854681912964747,0.7034638769292877
TAC4,C2,21,8671,0.042440690100193024,0.3485628640809405,0.7034829777928107
KRT12,C2,86,8606,0.0278813224285841,0.3485742355990892,0.7034926460106528
DNALI1,C6,29,8663,-0.03663325309753418,0.3485900083585055,0.7035111962824174
SDK2,C6,266,8426,0.016508877277374268,0.348598317098766,0.7035115798081054
MICALCL,C5,93,8599,0.0030293986201286316,0.3486033609382534,0.7035115798081054
KANK1,C6,136,8556,-0.029431532137095928,0.3486322239114258,0.7035565453508736
CALCB,C2,25,8667,0.018540509045124054,0.3486432854818403,0.7035624523478585
DLK1,C1,77,8615,0.024140603840351105,0.3486483144904464,0.7035624523478585
RDH5,C2,39,8653,0.022541344165802002,0.34867300591814876,0.7035989964817253
UHRF1BP1L,C2,185,8507,0.015807032585144043,0.34869636624839007,0.7036328532202195
OR51G1,C5,112,8580,-0.014266422018408775,0.3487129948777278,0.7036531250674768
SPO11,C5,59,8633,-0.03617501258850098,0.3487232424777187,0.7036605203846688
FJX1,C5,20,8672,0.06290964409708977,0.3487301471656279,0.7036611701571807
LY6K,C2,31,8661,0.03469737619161606,0.3487469583172046,0.7036771644758328
LINGO4,C6,87,8605,-0.028979919850826263,0.34875214547665045,0.7036771644758328
RALBP1,C10,61,8631,0.01470029354095459,0.34876069578265645,0.7036771644758328
HSPB7,C2,23,8669,-0.06490841507911682,0.34876440513297124,0.7036771644758328
CINP,C2,21,8671,-0.028687193989753723,0.34878676547260035,0.7037075992879976
NPAS1,C5,45,8647,-0.002706572413444519,0.3488074683189092,0.7037075992879976
CXorf27,C2,24,8668,0.0011059045791625977,0.34880782862780024,0.7037075992879976
ZNF275,C10,51,8641,0.007612936198711395,0.3488089922923191,0.7037075992879976
ZNF471,C5,128,8564,0.04810990020632744,0.34881240510284617,0.7037075992879976
SLC29A2,C10,56,8636,0.055185675621032715,0.34883178698909045,0.7037334195554723
PIGK,C1,66,8626,0.021372949704527855,0.34884115240055436,0.7037390319885569
RABGAP1,C10,111,8581,0.025764942169189453,0.3488561418172951,0.7037559896525991
EHMT1,C5,149,8543,0.012263546697795391,0.3488816770869153,0.703794220680938
FAM104B,C5,16,8676,-0.06138368137180805,0.34889853625013656,0.7038094590056772
BEST4,C5,41,8651,-0.05229468643665314,0.3489067757445885,0.7038094590056772
HIST1H2AC,C5,37,8655,-0.11720490455627441,0.34890898313396057,0.7038094590056772
SFTPA1,C7,46,8646,0.04995465278625488,0.3489407703165074,0.7038602970855827
PRDM8,C10,58,8634,0.04006370157003403,0.34894849505234815,0.7038625969830326
KLHL6,C5,121,8571,0.006568484008312225,0.3489611324628835,0.7038748059429466
NANOS3,C5,38,8654,-0.04879971966147423,0.3489815485343707,0.7039027041555199
AP000275.65,C7,34,8658,-0.029086919501423836,0.34898837760390855,0.7039031965800108
NFKBIB,C6,40,8652,0.02475898340344429,0.34900807554300106,0.7039296447714984
PTDSS2,C6,39,8653,-0.007583588361740112,0.34903495691702446,0.7039705802755141
DHPS,C5,46,8646,-0.016768475994467735,0.3490620429406637,0.7040119269860038
NKX6-3,C2,15,8677,0.029002904891967773,0.34909682189221825,0.7040488829255934
SLC27A2,C2,87,8605,0.02488872781395912,0.3491056678569302,0.7040488829255934
BRI3BP,C10,28,8664,0.04482891038060188,0.34910567156631134,0.7040488829255934
PSMA8,C10,56,8636,0.06470371037721634,0.34910671156517625,0.7040488829255934
MAP3K19,C7,208,8484,0.018736526370048523,0.34912007069828366,0.7040590529925892
TMEM255A,C7,60,8632,0.061627909541130066,0.34913100762394944,0.7040590529925892
KLHL21,C5,41,8651,0.03476282209157944,0.3491315136303619,0.7040590529925892
MSR1,C2,155,8537,0.003979727625846863,0.3491625169631123,0.704102003265137
GBA3,C2,110,8582,0.01827394589781761,0.3491676576853544,0.704102003265137
CT45A1,C5,18,8674,-0.04913156107068062,0.34917257236087584,0.704102003265137
ARL13B,C5,72,8620,-0.06284765899181366,0.3491827452826304,0.7041092345078861
GJC2,C10,29,8663,0.05632394552230835,0.3492002362601203,0.7041306015306302
CTNNBL1,C7,77,8615,0.04769451916217804,0.3492116550852854,0.7041306015306302
SLC25A22,C10,37,8655,0.031774915754795074,0.34921310283028706,0.7041306015306302
HIST2H2AB,C10,30,8662,0.053048960864543915,0.3492623221168897,0.7042098401450494
CD93,C6,173,8519,-0.026794016361236572,0.3492655767752777,0.7042098401450494
HCAR3,C5,62,8630,-0.007183689624071121,0.3492786120137841,0.7042228395983526
SCAMP4,C2,18,8674,0.023765865713357925,0.34931780265051804,0.7042715516301347
OXTR,C5,41,8651,0.04063883796334267,0.34932421925433965,0.7042715516301347
NFX1,C2,100,8592,0.01869460940361023,0.34933778567830676,0.7042715516301347
GPX7,C7,28,8664,-0.05781306512653828,0.3493386827384469,0.7042715516301347
IL32,C7,35,8657,-0.011590775102376938,0.3493485578875749,0.7042715516301347
PPIH,C1,17,8675,0.10410813242197037,0.34934873279687273,0.7042715516301347
THEM4,C5,19,8673,0.05449318140745163,0.3493488907460325,0.7042715516301347
PARP8,C10,140,8552,-0.004440769553184509,0.34937163127993565,0.7042940955525437
C3orf20,C10,149,8543,0.0029915571212768555,0.3493732506816414,0.7042940955525437
FSD1L,C2,37,8655,0.034609489142894745,0.3493821309297479,0.7042987151668239
ANKRD52,C2,102,8590,0.008411232382059097,0.3494110526175054,0.7043437341945135
GLTSCR1,C7,86,8606,0.044018929824233055,0.3494410154558605,0.704390850238915
PDK4,C2,69,8623,0.03022444248199463,0.3494538099853638,0.7044033578886961
MAPRE3,C1,36,8656,0.03297799453139305,0.3494981567473875,0.7044794645434592
MNDA,C6,156,8536,0.010960817337036133,0.34951316385357645,0.7044877579275481
DDX50,C5,104,8588,-0.049700647592544556,0.34951693623977786,0.7044877579275481
SBDS,C5,31,8661,0.05051521956920624,0.34952204237471485,0.7044877579275481
C9orf171,C10,62,8630,0.020683739334344864,0.34954019547171233,0.7044991387755689
ARHGAP36,C10,178,8514,0.021961405873298645,0.34954086984770105,0.7044991387755689
UBXN7,C2,72,8620,0.030567996203899384,0.34957133031297927,0.7045203939199403
LEPROT,C10,15,8677,0.16660016775131226,0.3495740930708132,0.7045203939199403
IGHV1-46,C1,33,8659,0.05513309687376022,0.34958430305248134,0.7045203939199403
POFUT1,C10,47,8645,0.1046685129404068,0.3495845208616831,0.7045203939199403
SLC1A1,C2,62,8630,0.000288989394903183,0.34959252708458866,0.7045203939199403
NDUFB6,C2,20,8672,0.03778279572725296,0.3496027136703401,0.7045203939199403
ABI3BP,C7,182,8510,0.017510700039565563,0.3496096371758951,0.7045203939199403
PATL2,C10,29,8663,0.09003666043281555,0.34962016118692785,0.7045203939199403
CYTL1,C1,29,8663,0.02729450911283493,0.3496201611891292,0.7045203939199403
YEATS2,C2,152,8540,0.012575723230838776,0.34962708005516774,0.7045203939199403
NOP9,C2,60,8632,0.015461593866348267,0.3496361494900935,0.7045203939199403
SPATA20,C6,90,8602,-0.030759837478399277,0.3496361541203148,0.7045203939199403
EEF2,C5,123,8569,0.04765146225690842,0.34963709490956474,0.7045203939199403
SCO1,C6,32,8660,0.019949127919971943,0.3496492994433168,0.7045225708177815
ARSF,C5,119,8573,-0.025802671909332275,0.34966043566173755,0.7045225708177815
DUSP19,C7,35,8657,0.07010994851589203,0.34966146232419426,0.7045225708177815
MRAP,C5,26,8666,-0.0009193308651447296,0.3496645381694973,0.7045225708177815
SLC43A2,C7,56,8636,-0.04102535918354988,0.3496845009350472,0.7045495129950581
KLF1,C6,18,8674,0.04195643961429596,0.3497052708872771,0.7045681048981141
FAM104B,C7,16,8676,0.09496041387319565,0.34972008365228047,0.7045681048981141
RAB38,C6,32,8660,-0.0195092111825943,0.349722031433633,0.7045681048981141
PALM2-AKAP2,C5,157,8535,-0.01638522744178772,0.34972438455422505,0.7045681048981141
RASSF2,C6,86,8606,-0.018900029361248016,0.3497302458869984,0.7045681048981141
MANBAL,C6,15,8677,0.06992961466312408,0.34973327546399147,0.7045681048981141
OR9A4,C2,81,8611,0.0012746676802635193,0.34974733773755917,0.7045831558326886
SOCS5,C5,78,8614,-0.005391228944063187,0.349774889059969,0.7046253800379633
KRTAP10-11,C6,62,8630,-0.029370326548814774,0.3498019032553369,0.7046556193304926
KCNMA1,C7,183,8509,0.04505588486790657,0.349803083742821,0.7046556193304926
CXorf38,C5,38,8654,-0.029805026948451996,0.34981569566134896,0.7046610179462095
OR6C75,C5,78,8614,0.036959072574973106,0.3498216085826976,0.7046610179462095
C7orf31,C10,84,8608,0.05597997456789017,0.3498255397804356,0.7046610179462095
MPP6,C6,101,8591,0.0008557885885238647,0.34986355036064265,0.7047243038186372
NUTM2A,C6,33,8659,-0.03902910649776459,0.34987082742457887,0.7047256824642506
RPUSD4,C1,44,8648,0.01845073141157627,0.3498818281454589,0.7047345612752156
C6orf163,C5,18,8674,-0.08579422906041145,0.349899107253542,0.7047560854871614
ZNF610,C1,87,8605,0.012540750205516815,0.3499240596547596,0.7047871669869948
ELAVL4,C7,108,8584,0.007642439566552639,0.34992772508482795,0.7047871669869948
DHRS4L2,C6,26,8666,-0.03904909826815128,0.3499469130371472,0.7048125335095409
RDH16,C10,66,8626,0.029253702610731125,0.3499823187212271,0.7048705618739974
FRMD1,C6,79,8613,-0.03760487213730812,0.35000955871702144,0.7048971273948947
CCDC54,C10,88,8604,-0.03807992488145828,0.3500115327284766,0.7048971273948947
ZNF343,C6,81,8611,0.03388576954603195,0.35002250600152096,0.7048971273948947
CRYBB1,C6,67,8625,-0.02180568128824234,0.35002370765581214,0.7048971273948947
C3orf79,C2,16,8676,-0.046827323734760284,0.350028480198028,0.7048971273948947
TEAD1,C1,47,8645,0.053539954125881195,0.3500351165674166,0.7048972122487955
LHFP,C10,34,8658,0.056251924484968185,0.3500465820728932,0.7049070217821899
TMEM18,C5,26,8666,-0.00942898914217949,0.35006797511517795,0.7049254149446395
EHD1,C5,63,8629,-0.004840835928916931,0.35006890484523445,0.7049254149446395
LRRTM1,C6,160,8532,-0.00882801041007042,0.35010751150648467,0.7049828489461502
GJB1,C1,35,8657,0.06335907429456711,0.3501137493325752,0.7049828489461502
GARNL3,C7,108,8584,0.044960176572203636,0.35012667406128894,0.7049828489461502
YES1,C7,77,8615,-0.00871327519416809,0.3501283155453301,0.7049828489461502
CCDC120,C7,72,8620,0.04414520412683487,0.35013040198464973,0.7049828489461502
GTF3C2,C5,121,8571,0.0593746155500412,0.3501451462943248,0.7049902264255312
KIF3A,C7,86,8606,0.03285853751003742,0.3501532405003732,0.7049902264255312
DYDC2,C5,30,8662,-0.03902212902903557,0.3501636697597593,0.7049902264255312
CNPY3,C7,23,8669,0.058115214109420776,0.35017865352749433,0.7049902264255312
DOT1L,C7,153,8539,-0.0027475692331790924,0.3501801312213425,0.7049902264255312
IFNAR2,C2,56,8636,0.013977976515889168,0.35018023174409174,0.7049902264255312
HEXA,C6,56,8636,-0.019612077623605728,0.35018023174409174,0.7049902264255312
QARS,C10,75,8617,-0.04221116751432419,0.35019019266712426,0.7049970024359659
ASPHD1,C7,54,8638,0.03422591835260391,0.35020521152717543,0.7050009817675392
LILRA5,C6,84,8608,-0.014183811843395233,0.3502084954976894,0.7050009817675392
RNF39,C2,40,8652,0.015372224152088165,0.3502119549172851,0.7050009817675392
FAM117B,C2,67,8625,0.029246903955936432,0.3502253343698649,0.7050146386727634
RCOR1,C10,50,8642,0.060098834335803986,0.35025101849688,0.7050530642947194
TPP2,C7,146,8546,-0.023971624672412872,0.3502973794848542,0.7051331100748149
PNOC,C5,24,8668,-0.014736482873558998,0.3503184994035856,0.7051517047776406
OR6F1,C5,143,8549,0.0017475858330726624,0.3503213289048098,0.7051517047776406
RLTPR,C5,156,8536,-0.03142062947154045,0.35032640684053806,0.7051517047776406
IGSF8,C6,84,8608,0.0394294410943985,0.35034371980658074,0.7051732746939116
TLX1,C1,27,8665,0.05274266004562378,0.3503539465629717,0.7051805809146363
CCNG2,C5,25,8667,0.04727047681808472,0.35037004792978454,0.7051926489119205
ALKBH1,C6,56,8636,-0.043890248984098434,0.3503731362853709,0.7051926489119205
NAP1L3,C5,111,8581,0.017954722046852112,0.35038596839171565,0.7051984990909452
GCLM,C1,30,8662,0.031920425593853,0.3503892370361601,0.7051984990909452
ELFN2,C10,142,8550,-0.04326637461781502,0.3504042619065104,0.7052154607214357
TREML2,C5,56,8636,-0.02318202704191208,0.35042826424318096,0.7052384340400677
OR1A1,C7,81,8611,0.0437224842607975,0.35043551586408495,0.7052384340400677
OR2A5,C5,107,8585,-0.018912173807621002,0.3504374787498724,0.7052384340400677
PRODH2,C2,86,8606,0.02646173071116209,0.35044284478696064,0.7052384340400677
MED22,C5,25,8667,0.004616387188434601,0.3504524097858057,0.7052384340400677
ANKEF1,C7,116,8576,0.042245663702487946,0.3504740965460247,0.7052384340400677
DGKQ,C10,65,8627,-0.004284217953681946,0.350474959425526,0.7052384340400677
PTN,C6,55,8637,-0.04108119010925293,0.35047696031391795,0.7052384340400677
FOXC2,C2,57,8635,0.006874173879623413,0.3504784796513364,0.7052384340400677
KIAA1614,C7,135,8557,-0.01224568486213684,0.3504816510434867,0.7052384340400677
NLRP14,C6,247,8445,0.015602484345436096,0.3505019025288231,0.7052550097948886
GLT6D1,C10,56,8636,0.03437803499400616,0.3505109664968863,0.7052550097948886
SETD1B,C7,116,8576,-0.013965995982289314,0.3505125401117173,0.7052550097948886
LIPI,C1,145,8547,0.0022675246000289917,0.3505178835369649,0.7052550097948886
GYS1,C10,78,8614,0.0283505879342556,0.350522876584649,0.7052550097948886
KCNIP2,C6,27,8665,-0.06032434105873108,0.35055211624837024,0.7052733649262638
LRRC15,C2,100,8592,0.012570545077323914,0.35055688803299856,0.7052733649262638
TRIM36,C6,107,8585,0.023924198001623154,0.350557499833122,0.7052733649262638
POLD1,C6,143,8549,0.011078767478466034,0.3505640612301243,0.7052733649262638
SLBP,C6,23,8669,-0.007659316062927246,0.35056498813792936,0.7052733649262638
PPFIBP1,C7,104,8588,-0.0025996631011366844,0.3505912535834963,0.7053129320233635
TRIM60,C2,101,8591,0.007184557616710663,0.35060414558986663,0.7053171016680648
KRT6B,C7,110,8582,0.03133525513112545,0.35060652252035585,0.7053171016680648
PIWIL2,C6,134,8558,0.018325980752706528,0.3506222586231744,0.7053331645745674
CCDC47,C7,59,8633,0.03407597541809082,0.35062770386476516,0.7053331645745674
VN1R1,C10,54,8638,0.07305968552827835,0.3506542996386186,0.7053733913091791
WBP4,C10,56,8636,0.037458330392837524,0.35067640813257506,0.7053983293386734
MTMR1,C6,102,8590,0.005121737718582153,0.35067989464260385,0.7053983293386734
TAS2R39,C1,53,8639,0.021334052085876465,0.35070772578424325,0.7054344766919938
PLEKHA5,C7,163,8529,-0.006980221718549728,0.350716791655443,0.7054344766919938
B3GALT4,C1,50,8642,0.012877531349658966,0.35071766262344717,0.7054344766919938
ERCC4,C2,118,8574,0.0062253437936306,0.35072578020356604,0.7054375305881985
IFIH1,C1,120,8572,0.03497913107275963,0.3507489715011224,0.7054709025454678
ZC3H4,C7,147,8545,-0.027351394295692444,0.35077387859862696,0.7055077242168817
KAZN,C1,77,8615,0.0063559263944625854,0.3507873712401989,0.7055215871623605
RGS7BP,C7,54,8638,0.04467514902353287,0.3508228017805046,0.7055401005356853
ZFHX2,C5,63,8629,0.004659585654735565,0.350822911489581,0.7055401005356853
SP3,C6,79,8613,0.020281970500946045,0.3508229164906498,0.7055401005356853
TMEM89,C5,24,8668,0.0727258250117302,0.35082297713453525,0.7055401005356853
ZP1,C6,80,8612,0.019468212500214577,0.35084554043747507,0.7055469078202027
HOXA13,C2,43,8649,-0.031874626874923706,0.3508562995793242,0.7055469078202027
RNASE9,C10,45,8647,-0.05097556114196777,0.35086422436607656,0.7055469078202027
LRRC8C,C5,92,8600,-0.00391753064468503,0.3508674038010886,0.7055469078202027
EPHA2,C6,203,8489,0.016663160175085068,0.35087738834661264,0.7055469078202027
C7orf62,C6,90,8602,0.019428066909313202,0.35087761423457664,0.7055469078202027
PLSCR5,C6,53,8639,-0.027732767164707184,0.35087781696202136,0.7055469078202027
IARS2,C5,128,8564,0.03975069522857666,0.35087916448351475,0.7055469078202027
NDN,C2,115,8577,0.02360658347606659,0.3508928387203336,0.7055611317830176
SST,C2,21,8671,0.00034123659133911133,0.350940865764636,0.7056122128864734
CCNG2,C6,25,8667,-0.05849282443523407,0.35094683873798005,0.7056122128864734
VSTM2B,C1,39,8653,0.0669395923614502,0.3509473701194574,0.7056122128864734
HRH4,C10,71,8621,-0.028975874185562134,0.3509533613404118,0.7056122128864734
TNFRSF4,C5,26,8666,-0.043380025774240494,0.35095657542515146,0.7056122128864734
FBXL20,C6,73,8619,0.014020472764968872,0.3509630947350523,0.7056122128864734
OR4A16,C10,158,8534,0.047739152796566486,0.35096939227066226,0.7056122128864734
CNTNAP5,C5,468,8224,0.0014142561703920364,0.3509736040174456,0.7056122128864734
HIRIP3,C2,61,8631,0.021572381258010864,0.3509776509072994,0.7056122128864734
FAM107A,C2,23,8669,0.022608011960983276,0.3509945656734853,0.7056329476459957
CDH24,C1,90,8602,0.040068477392196655,0.3510302666687024,0.7056914484008353
MPG,C10,37,8655,0.01653098315000534,0.35104135422694605,0.7057004664204992
TBPL2,C6,55,8637,0.020281970500946045,0.35106139788095536,0.7057208864440454
CNGA4,C10,119,8573,0.00997135043144226,0.35106471577560017,0.7057208864440454
TAS2R5,C7,31,8661,0.05649136006832123,0.35107548811379796,0.7057292697484353
IGHG3,C6,85,8607,0.015656422823667526,0.3510860230361519,0.7057371754949884
CXADR,C2,61,8631,0.017729375511407852,0.351109893588769,0.7057718871183183
NOTCH4,C5,286,8406,0.017143890261650085,0.3511380295170563,0.7058151711781732
ISL1,C10,88,8604,0.034700337797403336,0.3511574367241461,0.7058293509503939
KLHL21,C10,41,8651,0.03185664862394333,0.35115828976055086,0.7058293509503939
IGHV1-3,C7,31,8661,0.05170328542590141,0.3511866157130965,0.7058730134303661
STX1A,C7,39,8653,0.0906752198934555,0.3512116715226059,0.7059101015170066
THY1,C7,25,8667,0.06143510341644287,0.3512354597122963,0.7059315767687472
GLIPR2,C2,19,8673,0.016676947474479675,0.3512373408899323,0.7059315767687472
RSL1D1,C10,61,8631,0.026924479752779007,0.3512421678416344,0.7059315767687472
CCND1,C6,64,8628,-0.01714758761227131,0.35125638135555604,0.7059356913754826
CNTN4,C2,253,8439,0.003956146538257599,0.3512778741191337,0.7059356913754826
IL2RB,C1,74,8618,0.05854247510433197,0.3512818771472611,0.7059356913754826
DLG4,C5,102,8590,0.03031664341688156,0.35129489791581425,0.7059356913754826
KIAA1279,C2,61,8631,0.0052935779094696045,0.3512950863862142,0.7059356913754826
TCERG1,C7,159,8533,0.046799976378679276,0.3512971425843061,0.7059356913754826
ZNF778,C2,81,8611,0.005472660064697266,0.35130844004301864,0.7059356913754826
ZNF319,C6,75,8617,-0.008737623691558838,0.3513115816512471,0.7059356913754826
YWHAQ,C6,36,8656,0.013575181365013123,0.35131812361916026,0.7059356913754826
KLK1,C10,52,8640,-0.07267282716929913,0.35131957311572437,0.7059356913754826
LEP,C2,28,8664,0.016191937029361725,0.35132326288799187,0.7059356913754826
VPS33A,C2,93,8599,0.025939444079995155,0.3513234624820788,0.7059356913754826
RASA2,C10,124,8568,0.034531659446656704,0.35134513162008807,0.705959505959631
TP53TG5,C7,51,8641,0.05141136050224304,0.3513485226440496,0.705959505959631
USB1,C5,31,8661,0.008726470172405243,0.35137187790582025,0.7059650607752042
YKT6,C6,19,8673,-0.03273184597492218,0.35137923494486767,0.7059650607752042
TRIM13,C10,48,8644,0.004204621538519859,0.3513818210871351,0.7059650607752042
LRRC19,C7,41,8651,0.05517800152301788,0.351383946472532,0.7059650607752042
SCYL2,C7,110,8582,0.04901253804564476,0.3513965337647744,0.7059650607752042
PRICKLE1,C5,145,8547,-0.007657334208488464,0.3513969233926736,0.7059650607752042
C1QL2,C7,32,8660,-0.05885924585163593,0.351397516780114,0.7059650607752042
ICAM5,C2,93,8599,0.033595094457268715,0.35145230302846475,0.7060618576656349
FAM211A,C1,28,8664,0.04988877475261688,0.35147921776773683,0.7061026585698176
ZNF213,C2,44,8648,0.02016017585992813,0.35149856138869284,0.7061282482608052
ATF3,C2,25,8667,-0.02243337780237198,0.35152423105184893,0.706150987984035
PNMA3,C7,83,8609,-0.027178660035133362,0.3515268544059873,0.706150987984035
TECR,C7,44,8648,0.013224733993411064,0.35152969872195816,0.706150987984035
RXRG,C7,97,8595,0.019231785088777542,0.3515552888342591,0.7061891225261104
OVGP1,C5,99,8593,0.050211239606142044,0.35157872455542516,0.7062155568457916
IGLV3-10,C2,20,8672,0.011138083413243294,0.3515825813968213,0.7062155568457916
IYD,C2,38,8654,-0.01683099940419197,0.35158826807569354,0.7062155568457916
AHNAK2,C6,622,8070,-0.008554981090128422,0.3516043862083852,0.706232087888672
MYO19,C7,101,8591,0.0100689847022295,0.35161377402397276,0.706232087888672
TMC8,C10,64,8628,0.04178013652563095,0.35161819788001236,0.706232087888672
DDR2,C7,143,8549,0.041909944266080856,0.351622924914037,0.706232087888672
SPARC,C6,61,8631,0.03994791954755783,0.35163918003924655,0.7062327002369555
RNF150,C5,74,8618,0.04346349835395813,0.35164261948132747,0.7062327002369555
TRAV9-2,C1,22,8670,0.051618967205286026,0.3516430499748536,0.7062327002369555
COX18,C6,26,8666,0.03562130779027939,0.35168467449728413,0.706294612562884
RAC1,C1,71,8621,0.07112669199705124,0.3516896157702535,0.706294612562884
LACC1,C2,51,8641,0.0077627599239349365,0.35169572765502266,0.706294612562884
NDUFA5,C6,15,8677,-0.07901330292224884,0.3517003062051878,0.706294612562884
TAF13,C2,17,8675,0.006216287612915039,0.35174529220742856,0.7063625834519993
UQCR10,C10,15,8677,-0.0491651576012373,0.35175356626331344,0.7063625834519993
RGPD1,C1,37,8655,0.05806024372577667,0.3517539762228411,0.7063625834519993
CST9,C7,26,8666,0.08166714012622833,0.351765633410034,0.7063727227283637
C17orf64,C7,28,8664,0.10410281643271446,0.351791259076925,0.7064109108894122
BAG4,C10,60,8632,0.038143303245306015,0.3518215531296508,0.7064465354352848
NAMPT,C5,50,8642,-0.058658719062805176,0.35182752133190176,0.7064465354352848
TRBV7-3,C7,36,8656,-0.012238284572958946,0.3518342968904581,0.7064465354352848
MGMT,C2,32,8660,0.02547843474894762,0.35183543494147296,0.7064465354352848
MRPS7,C1,29,8663,0.048566535115242004,0.3518779525598087,0.7064872919021676
DOC2B,C10,16,8676,-0.05751049891114235,0.35188248125885324,0.7064872919021676
GPR137C,C6,42,8650,0.025525778532028198,0.35188433844065503,0.7064872919021676
KLHDC8A,C5,56,8636,0.044377995654940605,0.35189115922936964,0.7064872919021676
ZNF37A,C10,96,8596,0.03543541766703129,0.3519044835635249,0.7064872919021676
