,C1,C2,C5,C6,C7,C10,cancer_type
TCGA-4Z-AA7Q-01,-0.26149046421051025,-0.15115298330783844,-0.21982234716415405,-0.30248627066612244,0.09640315175056458,0.25512081384658813,BLCA
TCGA-4Z-AA7R-01,-0.21883781254291534,0.2085491418838501,-0.36694079637527466,0.2534809708595276,0.22342348098754883,-0.15920689702033997,BLCA
TCGA-4Z-AA7S-01,0.01525723934173584,0.1602659523487091,0.15825526416301727,-0.13630667328834534,0.2495143711566925,0.18375177681446075,BLCA
TCGA-4Z-AA7W-01,0.19317986071109772,-0.09482235461473465,0.34947922825813293,-0.28043612837791443,0.030570868402719498,0.6060444116592407,BLCA
TCGA-4Z-AA7Y-01,0.018875405192375183,0.01806354522705078,0.2684001624584198,-0.008330762386322021,-0.32486289739608765,-0.03914517164230347,BLCA
TCGA-4Z-AA80-01,0.10684996843338013,0.17755727469921112,0.5547967553138733,0.08530919253826141,0.2861698269844055,-0.27194979786872864,BLCA
TCGA-4Z-AA81-01,0.6661054491996765,0.2245028018951416,0.4934667944908142,-0.559097409248352,-0.760927140712738,0.47081732749938965,BLCA
TCGA-4Z-AA82-01,0.2563212513923645,-0.11892937868833542,-0.17325857281684875,-0.17434586584568024,-0.1632348597049713,0.14012423157691956,BLCA
TCGA-4Z-AA83-01,0.23926576972007751,0.08164630085229874,0.03008119761943817,-0.07614742964506149,-0.38365960121154785,0.38535910844802856,BLCA
TCGA-4Z-AA84-01,0.12138286232948303,0.16686087846755981,-0.14701204001903534,0.007645070552825928,-0.06248469650745392,0.3579404950141907,BLCA
TCGA-4Z-AA86-01,0.2491811364889145,0.003928512334823608,-0.5383796095848083,0.17751921713352203,-0.25058889389038086,-0.12731650471687317,BLCA
TCGA-4Z-AA87-01,0.12548425793647766,0.0344122052192688,0.19384080171585083,-0.1134566068649292,0.5244239568710327,0.17629513144493103,BLCA
TCGA-4Z-AA89-01,0.20937353372573853,0.08899995684623718,0.4407120943069458,-0.379016637802124,-0.31562352180480957,0.3471997082233429,BLCA
TCGA-5N-A9KI-01,-0.061837613582611084,0.16231326758861542,0.5467498898506165,-0.3264712989330292,-0.27266767621040344,0.07105737924575806,BLCA
TCGA-5N-A9KM-01,0.047637052834033966,-0.011500284075737,-0.15983527898788452,-0.018601521849632263,-0.2788945734500885,0.20737841725349426,BLCA
TCGA-BL-A0C8-01,-0.5074939727783203,-0.1381913274526596,-0.10773143917322159,-0.10706883668899536,-0.011237945407629013,-0.24661433696746826,BLCA
TCGA-BL-A13I-01,-0.33277928829193115,-0.13885731995105743,-0.6451625823974609,0.6749135255813599,0.06583496928215027,-0.3999912142753601,BLCA
TCGA-BL-A13J-01,0.24914802610874176,-0.1133359968662262,-0.277161568403244,-0.02864745631814003,-0.05101417377591133,0.16633030772209167,BLCA
TCGA-BL-A13J-11,-0.9972774982452393,-0.47675633430480957,-0.7347333431243896,1.0456881523132324,0.43443822860717773,-0.8772667646408081,BLCA
