gene_symbol,ensembl_id,ctrl_mean_expr,var_total,var_residual,var_interaction,noise,interaction_fraction,additive_fraction,reproducibility
MARCHF4,ENSG00000144583,1.2089978,0.25590128,0.23223886,0.027522119,0.20471674,0.10754975,0.09246698,0.11850781
TSC22D3,ENSG00000157514,1.2351835,0.23686138,0.16595717,0.027475383,0.13848178,0.11599773,0.29934898,0.16555707
FRMD4A,ENSG00000151474,1.6639475,0.11272559,0.0976569,0.0274589,0.070198,0.24359065,0.1336759,0.28117728
JCAD,ENSG00000165757,1.0865898,0.2449984,0.23491947,0.027457178,0.2074623,0.11207084,0.041138727,0.116879106
ARHGEF4,ENSG00000136002,1.2957993,0.2002323,0.17734943,0.027416214,0.14993322,0.13692203,0.11428158,0.15458868
CXCL10,ENSG00000169245,0.49060765,0.3874389,0.37272844,0.027394269,0.34533417,0.07070604,0.037968453,0.07349659
SLC16A6,ENSG00000108932,1.0155424,0.2880868,0.264793,0.027380208,0.2374128,0.09504152,0.08085686,0.10340231
HBEGF,ENSG00000113070,1.4141113,0.17679371,0.124456026,0.02737018,0.09708585,0.15481421,0.29603815,0.21991847
NT5E,ENSG00000135318,1.6236346,0.12923107,0.08561451,0.027335633,0.058278877,0.21152525,0.3375083,0.3192874
CACNA1D,ENSG00000157388,1.2033114,0.24077357,0.23186788,0.027294656,0.20457323,0.11336234,0.036987837,0.11771642
ZNF804A,ENSG00000170396,1.2475877,0.26180404,0.23847869,0.027292687,0.211186,0.10424853,0.089094706,0.11444497
ENSG00000280241,ENSG00000280241,0.64778155,0.3138601,0.3095015,0.027236192,0.2822653,0.08677813,0.013887047,0.08800019
KRT6A,ENSG00000205420,0.46543613,0.33947623,0.30817884,0.027216148,0.2809627,0.080171,0.09219316,0.088312835
ENSG00000251144,ENSG00000251144,0.110843256,0.086597554,0.08728093,0.02716403,0.0601169,0.31368127,0.0,0.31122527
UGT1A9,ENSG00000241119,0.41731083,0.18760857,0.18425283,0.027142188,0.15711065,0.14467455,0.017886931,0.14730948
ENSG00000226149,ENSG00000226149,1.2965791,0.22857705,0.19303486,0.027131118,0.16590375,0.11869572,0.15549326,0.14055036
KCND2,ENSG00000184408,0.8829869,0.38707787,0.36742517,0.02712667,0.3402985,0.07008065,0.05077194,0.0738291
KIF26A,ENSG00000066735,0.7390736,0.23075005,0.22085312,0.027125536,0.19372758,0.117553756,0.042890277,0.12282161
TMCC2,ENSG00000133069,0.66473883,0.29305285,0.27523562,0.02712137,0.24811426,0.09254771,0.06079869,0.098538734
BARX2,ENSG00000043039,1.0019842,0.27729324,0.26919544,0.027084015,0.24211141,0.09767283,0.029203013,0.10061097
MMP7,ENSG00000137673,0.9193879,0.36772874,0.32048643,0.027078819,0.29340762,0.07363803,0.12847055,0.08449287
LINC02798,ENSG00000227082,1.2545403,0.26475996,0.20317416,0.02707833,0.17609583,0.10227502,0.23260994,0.13327645
LINC00659,ENSG00000228705,0.5865476,0.2622237,0.23832509,0.02707196,0.21125314,0.103239946,0.09113822,0.11359257
SLC12A8,ENSG00000221955,1.354863,0.1838553,0.17345716,0.027059186,0.14639798,0.14717653,0.05655608,0.15599924
CDH13,ENSG00000140945,1.6099907,0.15240388,0.11516562,0.027039707,0.088125914,0.17742139,0.24433929,0.23478974
RNF175,ENSG00000145428,0.39675367,0.22805662,0.22834335,0.027023813,0.20131955,0.11849607,0.0,0.11834727
SERPINB4,ENSG00000206073,0.27798823,0.1676199,0.16440596,0.027013294,0.13739267,0.16115804,0.01917399,0.16430849
FAM83A,ENSG00000147689,1.0712782,0.33978942,0.29893452,0.026998198,0.27193633,0.07945567,0.12023594,0.09031475
LINC01705,ENSG00000232679,0.9314671,0.34658867,0.32268417,0.026993575,0.2956906,0.0778836,0.068970814,0.083653234
CYP1A1,ENSG00000140465,0.25905684,0.19957097,0.1789189,0.026985407,0.15193349,0.1352171,0.103482336,0.1508248
ENSG00000253503,ENSG00000253503,0.54361653,0.29116243,0.281103,0.02696984,0.25413314,0.09262816,0.03454926,0.09594292
TNC,ENSG00000041982,1.4322613,0.19158922,0.17614111,0.026967293,0.14917383,0.14075579,0.080631405,0.1531005
NPR3,ENSG00000113389,1.037376,0.26951116,0.25088215,0.026963921,0.22391823,0.100047514,0.069121495,0.10747644
KRT13,ENSG00000171401,0.2869137,0.15916866,0.15260024,0.026950533,0.1256497,0.1693206,0.041267022,0.17660871
FRMPD4,ENSG00000169933,1.1387239,0.2650375,0.25244895,0.02694521,0.22550374,0.101665646,0.04749728,0.10673528
FN1,ENSG00000115414,1.8711925,0.13236402,0.10137396,0.02692209,0.07445187,0.20339432,0.23412749,0.26557204
THSD4,ENSG00000187720,1.7706921,0.112671666,0.07690257,0.026876347,0.050026223,0.23853688,0.3174631,0.3494857
AQP1,ENSG00000240583,0.41512847,0.23068209,0.22266808,0.026860725,0.19580735,0.116440445,0.03474049,0.12063123
RGS6,ENSG00000182732,1.0110384,0.29092678,0.280384,0.026812702,0.2535713,0.092163056,0.036238603,0.0956285
ARHGDIB,ENSG00000111348,0.66243154,0.2328759,0.22758883,0.026801797,0.20078704,0.11509047,0.022703363,0.11776411
PRSS23,ENSG00000150687,1.641991,0.114181004,0.09202854,0.026785286,0.06524326,0.23458618,0.19401179,0.2910541
SAMD5,ENSG00000203727,1.3809329,0.16601613,0.15509073,0.026781496,0.12830923,0.16131863,0.06580925,0.17268276
ZBTB7C,ENSG00000184828,1.1480215,0.25680953,0.24164723,0.026777819,0.21486941,0.10427112,0.05904105,0.11081368
CXCL2,ENSG00000081041,1.2456254,0.31638765,0.23311296,0.026772885,0.20634007,0.08462051,0.26320463,0.1148494
ENSG00000279320,ENSG00000279320,0.9067185,0.32277122,0.25199535,0.026742978,0.22525238,0.082854286,0.21927564,0.106124885
ENSG00000285517,ENSG00000285517,1.3146144,0.21029808,0.17466056,0.02672772,0.14793284,0.12709445,0.1694619,0.15302664
ENSG00000257891,ENSG00000257891,0.079473905,0.08546309,0.08315906,0.026723718,0.05643534,0.3126931,0.026959386,0.32135665
LINC03004,ENSG00000230533,0.6474963,0.27411756,0.26581147,0.02669893,0.23911254,0.09739956,0.030301182,0.10044311
ITGA2,ENSG00000164171,1.8821905,0.121718064,0.06840278,0.026677366,0.041725416,0.21917343,0.43802276,0.3900041
LINC01204,ENSG00000229563,0.6645244,0.27755028,0.26880014,0.02665116,0.24214898,0.09602282,0.031526327,0.09914861
ENSG00000288849,ENSG00000288849,0.32285094,0.22657068,0.21481077,0.026642188,0.18816859,0.11758886,0.051903922,0.12402631
MME,ENSG00000196549,1.4362447,0.17221645,0.14053899,0.026637163,0.113901824,0.1546726,0.18393978,0.18953575
IQCN,ENSG00000130518,1.0185441,0.2936867,0.24462146,0.026633985,0.21798748,0.09068843,0.16706659,0.10887837
LINC02934,ENSG00000204929,1.4225816,0.21101953,0.16542096,0.026632821,0.13878815,0.12621021,0.21608695,0.16100028
GALNT5,ENSG00000136542,1.0903317,0.26328802,0.25024214,0.026576014,0.22366613,0.10093894,0.049549833,0.106201194
DNAH17,ENSG00000187775,0.9932713,0.28888246,0.27679896,0.026569119,0.25022984,0.091972075,0.04182843,0.09598706
MIR31HG,ENSG00000171889,1.7376876,0.1157934,0.09833099,0.026566878,0.07176411,0.22943345,0.1508066,0.27017808
KCNMA1,ENSG00000156113,1.7290456,0.11787483,0.089292295,0.026560307,0.06273199,0.22532636,0.2424821,0.29745352
MAPK10,ENSG00000109339,1.1555967,0.22699584,0.20015608,0.02655141,0.17360467,0.116968706,0.11823901,0.13265353
ENSG00000254987,ENSG00000254987,0.30215365,0.19915375,0.19917408,0.026530245,0.17264383,0.13321489,0.0,0.1332013
GBP2,ENSG00000162645,1.3766732,0.17569736,0.13751784,0.026527354,0.11099049,0.15098323,0.21730274,0.1929012
MXRA5,ENSG00000101825,0.6407001,0.27165812,0.26333052,0.026526833,0.23680368,0.09764785,0.03065472,0.10073589
ENSG00000253891,ENSG00000253891,0.46198562,0.23650546,0.2261506,0.026524387,0.1996262,0.112151265,0.04378276,0.11728639
MT1X,ENSG00000187193,1.6657557,0.2823796,0.10436059,0.02650108,0.077859506,0.09384913,0.6304245,0.25393763
ADGRF1,ENSG00000153292,0.94522077,0.31489936,0.2913679,0.02649297,0.2648749,0.08413155,0.07472695,0.090926185
LINC02204,ENSG00000280639,0.4102155,0.2572572,0.24078217,0.026492415,0.21428975,0.10298027,0.064041056,0.11002648
CACNA1E,ENSG00000198216,0.52804786,0.28939813,0.2807406,0.026487783,0.2542528,0.091527134,0.02991569,0.094349675
HLA-K,ENSG00000230795,0.6644801,0.26558203,0.23927175,0.026483573,0.21278816,0.099718995,0.099066496,0.11068408
KCNQ3,ENSG00000184156,0.9127857,0.3109763,0.29891518,0.026463669,0.27245152,0.08509867,0.03878469,0.088532366
ENSG00000255026,ENSG00000255026,0.24968113,0.13653257,0.12889227,0.026449824,0.10244245,0.19372538,0.055959556,0.20520876
MAF,ENSG00000178573,0.88831156,0.2929487,0.26419857,0.026448142,0.23775043,0.09028251,0.09814047,0.10010706
