drug,cdi,moa,n_targets,target_mut_freq,target_expr_var,target_expr_mean
BAY1125976,0.0951772944260441,,3,0.006666666666666667,0.04578547971092898,4.279567250466568
Terfenadine,0.0932902938288601,,1,0.0,0.07300881196748357,4.421634184958427
Canagliflozin (hemihydrate),0.0919774140625924,,1,0.0,0.2046039456488662,2.0944501766153136
Fluvoxamine,0.0910127116953247,,1,0.0,0.20638346030196672,2.2050754502666288
Belzutifan,0.0905451460343047,,1,0.0,0.06723154515744736,4.505188146797125
Dapagliflozin,0.0905436390308931,,1,0.0,0.2046039456488662,2.0944501766153136
Bisoprolol (hemifumarate),0.0903321439548237,,1,0.0,0.7475671505913941,1.7520491227321855
ERK5-IN-2,0.0883621269737608,,1,0.0,0.07944309643099531,3.7167632523580845
Encorafenib,0.086934823146816,,1,0.18,0.00673003945323886,4.718053959585722
Fenofibrate,0.0868632481264169,,6,0.0,0.32713521868699985,1.6361460185118215
Monocrotaline,0.0848660023207693,,2,0.0,0.13880783626311846,2.7743371210848378
Dimethyl fumarate,0.0843129849781565,,1,0.0,0.008200207334555272,4.702116287855926
Canagliflozin,0.0842720426787052,,1,0.0,0.2046039456488662,2.0944501766153136
Sacubitril/Valsartan,0.0835196403890162,,1,0.0,0.8155141542865211,2.2070331325252313
Malotilate,0.083132642765309,,1,0.0,0.5799269030448649,3.083360454293495
Abiraterone acetate,0.082249966932378,,1,0.0,0.16288489639298206,0.37729263120307527
Filgotinib,0.0822089593522664,,4,0.01,0.14259715578147789,4.081150261371148
Epirubicin (hydrochloride),0.0820629810403184,,1,0.0,0.01027853855499154,4.694148901372842
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",0.082017608494287,,1,0.0,0.2046039456488662,2.0944501766153136
Dorzolamide (hydrochloride),0.0810084417044809,,1,0.0,0.4290456341690607,3.3119377098568368
Futibatinib,0.0792415798197732,,4,0.02,0.4008310039439169,3.5359075298986733
Finasteride,0.0786760026179325,,1,0.0,0.23947448559829151,1.1683473142431762
Arbutin,0.0783558870572369,,2,0.06,0.077671497565171,4.142659356523842
Doxorubicin (hydrochloride),0.075311951689797,,3,0.0,0.010616074089180748,4.663474180521438
9-ING-41,0.0748662699022597,,1,0.0,0.008335498904855269,4.743372678025991
Captopril,0.0747604490218718,,1,0.0,0.6439642308836525,2.3855857249316585
Perindopril (erbumine),0.0728169701630344,,2,0.0,0.32749073715236904,3.532479247912089
Mebendazole,0.0727407987858348,,10,0.0,0.19541829607944255,3.764180838143699
Sulfatinib,0.0717331883443051,,5,0.0,0.602712230859534,2.7079911966052377
Tadalafil,0.0713243383904321,,1,0.0,0.05862154417226777,4.017748400845158
Diphenhydramine,0.0694867322986385,,1,0.0,0.07300881196748357,4.421634184958427
crizotinib,0.0692913053454316,,3,0.02,0.308895439047651,3.4883121120236145
Apalutamide,0.0691122219083644,,1,0.0,0.5438319965359807,3.288932643961204
Pralsetinib,0.067447389948983,,1,0.0,0.7594569411747445,2.3573434667550703
PH-797804,0.0671124539193127,,1,0.0,0.008941674570847198,4.524303371576116
Erlotinib,0.0668481482836653,,1,0.08,0.03938794441741245,4.73702816613291
Cilostazol,0.0662949386140078,,1,0.0,0.12420851575486383,4.047395886742112
Eplerenone,0.0651300888400273,,1,0.0,0.13549314539444365,3.9447097125293316
Esmolol (hydrochloride),0.0610401046123531,,1,0.0,0.7475671505913941,1.7520491227321855
Brimonidine,0.0597164946829685,,3,0.0,0.6725336154425188,1.3970246094813896
