perturbation,n_contexts,n_pairs,shared,context_specific,index,estimable,pert_iname,key,moa-fine
BRD-K83972459,19,2371,0.3582716955244541,0.12343854379304714,0.25625061233478835,True,JWE-035,jwe035,
BRD-A45498368,15,5172,0.5827546320765852,0.20005933017060362,0.25556433561340974,True,WYE-125132,wye125132,mTOR inhibitor
BRD-K60219430,19,2460,0.12396421749665085,0.042057360812932,0.2533246656317592,True,serdemetan,serdemetan,MDM inhibitor
BRD-K85402309,13,3872,0.3254938686283123,0.10866417891732554,0.25028714665459,True,dovitinib,dovitinib,EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
BRD-A29901043,19,2472,0.23820731923772764,0.0793251122904739,0.24981735537596153,True,KIN001-127,kin001127,
BRD-K09186807,22,2509,0.12732586434962762,0.04222883764758703,0.2490573080555486,True,KIN001-244,kin001244,
BRD-K23984367,17,7788,0.21669931435417905,0.0712422305981174,0.2474190746247478,True,sorafenib,sorafenib,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
BRD-K50000283,22,2322,0.907669656135534,0.2858420717797051,0.2394966593910211,True,PHA-767491,pha767491,CDC inhibitor
BRD-K52911425,17,7525,0.31143479384906847,0.09743616721318436,0.2383054227183162,True,GDC-0941,gdc0941,PI3K inhibitor
BRD-U61997977,15,5013,0.20884630395838233,0.06513663738494893,0.23773975513068693,True,WZ-4-145,wz4145,
BRD-K64800655,17,7900,0.7741143108245165,0.24136205080539483,0.2376835738628043,True,PHA-793887,pha793887,CDK inhibitor
BRD-K07667918,13,3950,0.15827840196310416,0.04929446877327907,0.23748030558329974,True,linsitinib,linsitinib,IGF-1 inhibitor
BRD-K68174511,13,3902,1.2800564583213556,0.3969865472379683,0.2367181675854318,True,torin-2,torin2,mTOR inhibitor
BRD-U07805514,19,2185,0.7914069359785462,0.24527924657339273,0.23659932070243833,True,saracatinib,saracatinib,SRC inhibitor
BRD-K99252563,15,4871,0.6067438857390148,0.1871288666246334,0.23571644960414959,True,QL-XII-47,qlxii47,
BRD-K16189898,16,5314,0.16081603309533127,0.04903637991495218,0.2336707937332569,True,CHIR-99021,chir99021,glycogen synthase kinase inhibitor
BRD-K54997624,14,4182,0.20644836677530212,0.06267334224817729,0.23288103540807026,True,alpelisib,alpelisib,PI3K inhibitor
BRD-K94176593,13,4074,0.163849640431279,0.04972748239374991,0.23283150243806164,True,TWS-119,tws119,glycogen synthase kinase inhibitor
BRD-K94012289,15,5160,0.2908640582159341,0.08653285994557738,0.2292887296672217,True,OSI-027,osi027,mTOR inhibitor
BRD-K52560704,19,2570,0.25878911751807565,0.07691720778524902,0.22912051989413995,True,methylstat,methylstat,
BRD-K82928847,21,4620,0.6258934007159301,0.1828840039472989,0.22612402731929795,True,ACY-1215,acy1215,HDAC inhibitor
