cell_name,Bladder,Kidney,Large_Intestine,Liver,Lung,Mammary,Neural,Ovary,Pancreas,Skin,Stomach,Uterus
C-33 A,-0.4730558726448424,1.4416862575600995,-0.13902381629477442,-0.1311595337132613,0.04403242060413635,-0.37139528679065154,2.520053526195905,1.2658471732007397,0.09761522601221241,-0.09358452835997101,0.0010795210301973314,0.19422655577869127
KATO III,1.844860050807134,-0.20437476044168618,1.8518991277166346,1.410774502612582,1.7512863377495584,1.098463986902612,-0.9778723631099692,1.0597632623499842,1.130182217978401,1.5104677140843865,2.1227987783007203,1.192134085480859
SNU-1,-0.1942997124899685,1.720120653672794,-0.0429334348207479,0.05458507292541423,0.6075777220712675,0.018662464385775474,1.3767407798517006,1.2135059714619618,-0.02779656797995286,0.4708178255712399,0.3190802494166067,0.03664402287120166
A498,-1.1212162924548692,-0.6119477608425326,-0.9470947632735216,-0.9906270158902156,-0.8736691680920862,-0.4483326589201575,-0.4343192963714644,-0.5526746685114142,-1.3991495166905057,-0.15264340996715348,-0.6546206215384084,-0.5167190149470885
HepG2/C3A,-0.5021810076891876,-0.6923232841797663,-0.32545501972376956,2.869698548458391,-0.730635873792173,-0.6711667363502785,-1.226035516537453,-1.353034607696521,-0.3526493783321911,-1.3727192995607433,-0.12476801406745036,-0.17994118526897837
SNU-423,-0.5530166577303877,-0.29342933408754884,-0.6910457626856227,-0.011769689059064956,-1.066600793295425,-0.7442373761155789,-0.3903847696713652,-0.5963535336506465,0.33391103536041966,-0.3633759215644481,-1.2856577809598217,-0.8246844985051871
NCI-H23,-0.4509416328584506,0.9735520938783663,-0.4040689820868582,-0.3781261890415376,0.11563998638773244,0.4159910789682127,1.0321746480377412,0.7563688107569178,-0.7358177161972527,0.029146029199743965,-0.09638749619712092,0.13688425169377258
NCI-H2347,1.3530338899379488,-0.12519789333223807,0.37768113196736197,0.19216364388321427,1.4115674316472606,1.6525281675263033,-0.6119006832896478,0.5424498370472143,-0.6068356480229072,1.6784603059524146,0.5467193742857276,1.2531973511243963
NCI-H1792,-1.9038523344334237,-1.737423372925787,-1.5658521857787622,-2.4259425820189713,-1.851469962639068,-2.031733781874205,-1.2322208026310018,-2.6540339089559435,-0.5679895324969843,-2.043338953063177,-1.3373124054610381,-1.982920059979457
HOP62,-0.8179317239523837,-0.424053982273908,-0.9173610368225845,-0.2598853987401111,-1.4794327089094597,-0.6405649087400791,-0.5470003278760784,-0.490149973898675,-0.051680923034358964,-0.05097359755141891,-1.3164797697788893,-0.7734104954809978
SHP-77,-1.804436800632402,-1.1908829746751095,-0.48724651230889,-1.125679752735511,-1.269086754843027,-2.272120390595026,2.808577421618728,-1.4803405702641612,0.8639228363006834,-2.9794107782588095,-0.6176533118389954,-1.438180747527831
